,connected,z_0,z_1,z_2
0,0.0,209.0,202.0,-60.375
1,0.0,194.0,39.0,18.625
2,0.0,178.0,13.0,60.625
3,0.0,145.0,217.0,-131.375
4,0.0,127.0,226.0,-96.375
5,0.0,123.0,137.0,180.625
6,0.0,111.0,200.0,-54.375
7,0.0,74.0,315.0,30.625
8,0.0,59.0,152.0,109.625
9,0.0,56.0,324.0,65.625
10,0.0,41.0,161.0,144.625
11,0.0,25.0,135.0,186.625
12,0.0,-8.0,360.0,-202.375
13,0.0,-8.0,339.0,-5.375
14,0.0,-26.0,369.0,-167.375
15,0.0,-57.0,154.0,239.62500000000006
16,0.0,-75.0,163.0,274.62500000000006
17,0.0,-90.0,384.0,-238.375
18,0.0,-112.0,304.0,73.625
19,0.0,-124.0,341.0,124.625
20,0.0,-139.0,178.0,203.62500000000006
21,0.0,-161.0,482.0,-76.375
22,0.0,-292.0,321.0,132.62500000000006
