,connected,z_0,z_1,z_2
0,0.0,347.0,-142.0,13.828775267538674
1,0.0,325.0,-5.0,-167.17122473246138
2,0.0,322.0,-78.0,136.95362663495843
3,0.0,311.0,56.0,-249.17122473246138
4,0.0,308.0,-17.0,54.953626634958425
5,0.0,286.0,120.0,-126.04637336504163
6,0.0,265.0,-179.0,180.95362663495843
7,0.0,246.0,-297.0,358.9536266349583
8,0.0,229.0,19.0,-82.04637336504163
9,0.0,224.0,-160.0,177.9536266349583
10,0.0,218.0,102.0,-54.171224732461326
11,0.0,204.0,163.0,-184.54206375982903
12,0.0,192.0,3.0,-0.1776315789473415
13,0.0,182.0,300.0,-317.1712247324614
14,0.0,179.0,227.0,-13.046373365041632
15,0.0,167.0,-261.0,221.9536266349583
16,0.0,142.0,-117.0,167.82877526753867
17,0.0,136.0,65.0,112.95362663495843
18,0.0,122.0,126.0,30.953626634958425
19,0.0,117.0,-53.0,290.9536266349583
20,0.0,103.0,8.0,208.95362663495843
21,0.0,100.0,263.0,-150.04637336504157
22,0.0,81.0,145.0,-12.932799493362438
23,0.0,66.0,320.0,-372.1776315789473
24,0.0,63.0,247.0,-68.1776315789474
25,0.0,60.0,-154.0,334.9536266349583
26,0.0,52.0,381.0,-454.17763157894734
27,0.0,49.0,308.0,-150.17763157894734
28,0.0,27.0,445.0,-331.1776315789473
29,0.0,22.0,318.0,-239.56393275598572
30,0.0,-13.0,28.0,153.82236842105254
31,0.0,-30.0,344.0,-287.1776315789474
