,algorithm,instance,iter,nd_edges,nd_points,num_dom_lp,num_milp,time (sec),time_dom_test (sec),time_search (sec),time_slice (sec),y_eff
0,ConeBasedSearchAlgorithm,momilp_3obj_1con_30int_30bin_KP_p-3_n-30_ins-5,69,0,69,0,137,8.86,0,8.55,0.0,69
1,ConeBasedSearchAlgorithm,momilp_3obj_1con_30int_30bin_KP_p-3_n-30_ins-1,88,0,88,0,178,16.65,0,16.32,0.0,88
2,ConeBasedSearchAlgorithm,momilp_3obj_1con_30int_30bin_KP_p-3_n-30_ins-4,63,0,63,0,125,9.55,0,9.15,0.0,63
3,ConeBasedSearchAlgorithm,momilp_3obj_1con_30int_30bin_KP_p-3_n-30_ins-9,62,0,62,0,123,10.08,0,9.83,0.0,62
4,ConeBasedSearchAlgorithm,momilp_3obj_1con_30int_30bin_KP_p-3_n-30_ins-8,98,0,98,0,196,19.28,0,18.9,0.0,98
5,ConeBasedSearchAlgorithm,momilp_3obj_1con_30int_30bin_KP_p-3_n-30_ins-3,118,0,118,0,236,25.55,0,24.95,0.0,118
6,ConeBasedSearchAlgorithm,momilp_3obj_1con_30int_30bin_KP_p-3_n-30_ins-7,266,0,266,0,533,61.78,0,60.77,0.01,266
7,ConeBasedSearchAlgorithm,momilp_3obj_1con_30int_30bin_KP_p-3_n-30_ins-6,103,0,103,0,205,19.0,0,18.49,0.0,103
8,ConeBasedSearchAlgorithm,momilp_3obj_1con_30int_30bin_KP_p-3_n-30_ins-10,95,0,95,0,192,19.04,0,18.6,0.0,95
9,ConeBasedSearchAlgorithm,momilp_3obj_1con_30int_30bin_KP_p-3_n-30_ins-2,196,0,196,0,395,42.82,0,42.16,0.01,196
