,average_num_tabu_constraints,elapsed_time_in_seconds,elapsed_time_in_seconds_for_search_problem,elapsed_time_in_seconds_for_slice_problem,num_milp_solved,num_search_problems
0,0.0,0.02,0.02,0.0,1,2
1,0.0,0.08,0.08,0.0,2,3
2,0.0,0.13,0.13,0.0,2,4
3,0.0,0.26,0.26,0.0,2,4
4,0.0,0.33,0.33,0.0,2,5
5,1.0,0.2,0.2,0.0,2,2
6,0.0,0.14,0.14,0.0,2,3
7,0.0,0.14,0.14,0.0,2,4
8,0.0,0.18,0.18,0.0,2,5
9,0.0,0.26,0.26,0.0,2,6
10,0.0,0.22,0.22,0.0,2,7
11,0.0,0.33,0.33,0.0,2,7
12,0.0,0.24,0.23,0.0,2,8
13,0.0,0.34,0.34,0.0,2,9
14,0.0,0.32,0.32,0.0,2,10
15,0.0,0.23,0.23,0.0,2,11
16,0.09,0.3,0.3,0.0,2,11
17,0.3,0.3,0.3,0.0,2,10
18,0.5,0.23,0.23,0.0,2,8
19,1.4,0.3,0.29,0.0,2,5
20,2.67,0.27,0.27,0.0,2,3
21,1.25,0.33,0.33,0.0,2,4
22,1.0,0.19,0.19,0.0,2,5
23,0.6,0.22,0.22,0.0,2,5
24,0.75,0.31,0.31,0.0,2,4
25,0.4,0.26,0.26,0.0,2,5
26,0.0,0.2,0.2,0.0,2,6
27,0.17,0.17,0.17,0.0,2,6
28,0.5,0.22,0.22,0.0,2,6
29,0.4,0.23,0.22,0.0,2,5
30,0.2,0.27,0.27,0.0,2,5
31,0.6,0.27,0.27,0.0,2,5
32,0.8,0.37,0.37,0.0,2,5
33,0.67,0.17,0.17,0.0,2,6
34,0.57,0.26,0.26,0.0,2,7
35,0.5,0.25,0.25,0.0,2,8
36,0.22,0.21,0.21,0.0,2,9
37,0.0,0.13,0.13,0.0,2,10
38,0.0,0.3,0.3,0.0,2,11
39,0.0,0.1,0.1,0.0,2,12
40,0.09,0.27,0.27,0.0,2,11
41,0.27,0.19,0.19,0.0,2,11
42,0.27,0.23,0.22,0.0,2,11
43,0.4,0.34,0.33,0.0,2,10
44,0.88,0.25,0.25,0.0,2,8
45,0.88,0.26,0.26,0.0,2,8
46,0.5,0.1,0.1,0.0,2,8
47,0.22,0.28,0.28,0.0,2,9
48,0.0,0.2,0.2,0.0,2,10
49,0.0,0.29,0.29,0.0,2,11
50,0.0,0.3,0.3,0.0,2,12
51,0.08,0.28,0.28,0.0,2,12
52,0.15,0.28,0.28,0.0,2,13
53,0.5,0.21,0.2,0.0,2,10
54,0.55,0.28,0.28,0.0,2,11
55,0.5,0.3,0.29,0.0,2,12
56,0.15,0.14,0.14,0.0,2,13
57,0.15,0.27,0.26,0.0,2,13
58,0.15,0.14,0.14,0.0,2,13
59,0.25,0.13,0.13,0.0,2,12
60,0.25,0.33,0.32,0.0,2,12
61,0.56,0.19,0.19,0.0,2,9
62,0.2,0.29,0.28,0.0,2,10
63,0.3,0.22,0.22,0.0,2,10
64,0.36,0.3,0.3,0.0,2,11
65,0.33,0.18,0.18,0.0,2,12
66,0.33,0.26,0.26,0.0,2,12
67,0.38,0.2,0.2,0.0,3,13
68,0.14,0.32,0.31,0.0,2,14
69,0.23,0.05,0.05,0.0,2,13
70,0.21,0.14,0.14,0.0,2,14
71,0.07,0.09,0.09,0.0,2,14
72,0.23,0.36,0.36,0.0,2,13
73,0.29,0.18,0.18,0.0,2,14
74,0.2,0.29,0.29,0.0,2,15
75,0.31,0.03,0.03,0.0,2,13
76,0.36,0.22,0.21,0.0,2,14
77,0.5,0.2,0.2,0.0,2,12
78,0.38,0.18,0.18,0.0,2,13
79,0.36,0.3,0.3,0.0,2,14
80,0.38,0.04,0.03,0.0,2,13
81,0.45,0.28,0.27,0.0,2,11
82,0.3,0.29,0.29,0.0,2,10
83,0.22,0.11,0.11,0.0,2,9
84,0.33,0.22,0.22,0.0,2,9
85,0.2,0.31,0.31,0.0,2,10
86,0.67,0.3,0.29,0.0,2,6
87,0.86,0.32,0.32,0.0,2,7
88,0.75,0.17,0.16,0.0,2,8
89,0.67,0.27,0.27,0.0,2,9
90,0.2,0.23,0.23,0.0,2,10
91,0.33,0.19,0.18,0.0,2,9
92,0.44,0.21,0.2,0.0,2,9
93,0.71,0.21,0.21,0.0,2,7
94,0.75,0.18,0.18,0.0,2,8
95,0.44,0.31,0.31,0.0,2,9
96,0.4,0.26,0.26,0.0,2,10
97,0.36,0.21,0.21,0.0,2,11
98,0.67,0.08,0.08,0.0,2,9
99,0.8,0.3,0.29,0.0,2,10
100,0.8,0.17,0.17,0.0,2,10
101,0.6,0.09,0.09,0.0,2,10
102,0.18,0.28,0.28,0.0,2,11
103,0.17,0.27,0.27,0.0,2,12
104,0.18,0.14,0.14,0.0,2,11
105,0.22,0.07,0.07,0.0,2,9
106,0.22,0.1,0.1,0.0,2,9
107,0.0,0.08,0.08,0.0,2,8
108,0.0,0.12,0.11,0.0,2,7
109,0.0,0.13,0.13,0.0,2,8
110,0.17,0.05,0.04,0.0,2,6
111,0.4,0.1,0.1,0.0,2,5
112,0.17,0.27,0.27,0.0,2,6
113,0.2,0.09,0.09,0.0,2,5
114,0.25,0.11,0.11,0.0,2,4
115,0.33,0.08,0.07,0.0,2,3
116,0.0,0.07,0.07,0.0,2,2
117,0.0,0.11,0.11,0.0,2,2
