,average_num_tabu_constraints,elapsed_time_in_seconds,elapsed_time_in_seconds_for_search_problem,elapsed_time_in_seconds_for_slice_problem,num_milp_solved,num_search_problems
0,1.0,0.2,0.11,0.08,2,16
1,1.5,1.6,1.51,0.08,17,30
2,2.02,1.34,1.25,0.08,16,45
3,2.4,1.45,1.36,0.08,17,45
4,3.78,1.72,1.62,0.08,16,45
5,3.88,2.25,2.16,0.08,17,59
6,3.53,1.95,1.86,0.08,16,73
7,3.45,1.21,1.11,0.08,16,88
8,4.5,1.07,0.98,0.07,17,58
9,5.96,1.46,1.38,0.07,16,57
10,6.05,2.53,2.51,0.01,15,57
11,6.07,0.15,0.13,0.01,1,57
12,6.09,0.16,0.13,0.01,1,57
13,6.11,0.18,0.15,0.01,1,57
14,6.12,0.22,0.19,0.01,1,57
15,6.14,0.2,0.18,0.01,1,57
16,6.16,0.21,0.18,0.01,1,57
17,6.14,0.39,0.29,0.08,2,72
18,7.89,2.28,2.2,0.07,17,81
19,7.49,2.68,2.58,0.08,16,95
20,8.65,1.85,1.76,0.08,16,110
21,9.2,2.91,2.83,0.06,17,122
22,9.95,2.21,2.12,0.07,14,113
23,10.63,2.78,2.69,0.08,16,113
24,12.53,2.69,2.6,0.07,17,113
25,14.79,1.79,1.7,0.07,16,113
26,13.94,1.61,1.51,0.08,16,127
27,14.91,1.3,1.27,0.02,16,117
28,14.18,0.73,0.64,0.07,5,129
29,14.19,1.71,1.68,0.01,13,129
30,14.2,0.18,0.15,0.01,1,129
31,14.21,0.18,0.15,0.01,1,129
32,14.29,0.33,0.29,0.03,2,134
33,15.42,1.25,1.15,0.08,7,120
34,15.04,2.14,2.04,0.08,17,135
35,16.08,1.44,1.34,0.08,17,149
36,16.25,1.8,1.7,0.07,16,153
37,16.82,2.07,1.98,0.07,16,122
38,18.4,2.47,2.37,0.08,16,136
39,18.58,2.29,2.19,0.07,16,131
40,17.83,2.42,2.36,0.03,16,117
41,19.3,1.74,1.66,0.05,8,118
42,20.07,2.62,2.52,0.07,11,118
43,20.81,2.65,2.55,0.07,16,118
44,21.3,2.99,2.9,0.07,16,118
45,20.0,2.64,2.55,0.08,16,132
46,19.33,2.65,2.56,0.07,16,146
47,20.96,2.71,2.61,0.07,16,160
48,20.04,3.42,3.31,0.08,16,175
49,20.86,2.18,2.08,0.07,17,189
50,23.06,2.49,2.42,0.04,16,145
51,22.84,1.25,1.19,0.04,9,152
52,22.88,1.15,1.12,0.01,8,152
53,22.88,0.2,0.16,0.01,1,152
54,22.89,0.17,0.14,0.01,1,152
55,22.89,0.21,0.18,0.01,1,152
56,22.9,0.21,0.17,0.01,1,152
57,22.91,0.16,0.12,0.01,1,152
58,22.91,0.25,0.21,0.01,1,152
59,22.36,0.4,0.29,0.07,2,143
60,22.88,3.09,2.99,0.07,16,157
61,23.69,2.04,1.98,0.03,16,162
62,26.5,1.4,1.36,0.02,7,137
63,25.51,1.24,1.14,0.07,6,150
64,25.54,2.84,2.8,0.01,14,150
65,25.55,0.19,0.15,0.01,1,150
66,25.55,0.27,0.24,0.01,1,150
67,25.56,0.18,0.15,0.01,1,150
68,25.57,0.18,0.14,0.01,1,150
69,25.57,0.29,0.25,0.01,1,150
70,26.15,0.42,0.33,0.07,2,150
71,27.49,2.39,2.29,0.07,16,154
72,27.76,3.17,3.12,0.03,16,151
73,29.07,1.72,1.64,0.05,7,160
74,29.11,1.81,1.78,0.01,10,160
75,29.12,0.26,0.22,0.01,1,160
76,29.12,0.27,0.23,0.01,1,160
77,29.13,0.27,0.23,0.01,1,160
78,29.14,0.25,0.21,0.01,1,160
79,29.14,0.25,0.21,0.01,1,160
80,29.15,0.27,0.23,0.01,1,160
81,29.16,0.24,0.21,0.01,1,160
82,29.5,0.47,0.37,0.08,2,175
83,29.62,2.23,2.17,0.04,17,181
84,28.76,1.6,1.5,0.07,8,173
85,29.53,3.97,3.88,0.07,16,187
86,29.56,3.86,3.81,0.01,15,187
87,29.56,0.27,0.22,0.01,1,187
88,29.57,0.23,0.18,0.01,1,187
89,29.57,0.23,0.19,0.01,1,187
90,30.16,0.68,0.6,0.05,2,198
91,28.82,2.6,2.49,0.08,13,213
92,27.99,2.13,2.09,0.02,17,197
93,27.95,1.05,0.95,0.07,6,169
94,27.9,1.96,1.9,0.01,15,153
95,28.86,0.42,0.33,0.07,2,164
96,28.88,2.63,2.59,0.01,14,164
97,28.89,0.24,0.2,0.01,1,164
98,28.9,0.3,0.26,0.01,1,164
99,28.9,0.24,0.2,0.01,1,164
100,27.89,0.47,0.38,0.07,2,178
101,27.9,3.1,3.06,0.01,15,178
102,27.33,0.42,0.33,0.07,2,192
103,29.21,3.45,3.35,0.07,16,206
104,29.23,2.52,2.48,0.01,15,206
105,29.24,0.29,0.24,0.01,1,206
106,29.24,0.25,0.2,0.01,1,206
107,29.25,0.28,0.24,0.01,1,206
108,30.25,0.43,0.36,0.04,2,214
109,30.49,2.06,1.95,0.08,10,228
110,29.83,2.46,2.38,0.05,16,223
111,31.72,2.09,1.98,0.08,11,208
112,31.98,4.22,4.18,0.02,17,204
113,31.37,0.88,0.79,0.07,5,216
114,31.38,1.86,1.82,0.01,13,216
115,31.38,0.21,0.16,0.01,1,216
116,31.38,0.19,0.15,0.01,1,216
117,31.39,0.24,0.19,0.01,1,216
118,31.39,0.26,0.22,0.01,1,216
119,32.66,0.44,0.34,0.07,2,230
120,32.73,3.38,3.29,0.06,16,231
