,connected,z_0,z_1,z_2
0,0,828.0,373.83422017162206,313.2110747472316
1,0,802.0,377.7475656419083,436.2336926595817
2,0,796.0,167.3800507241458,594.800095435663
3,0,754.0,480.5781879184103,376.98780092646916
4,0,719.0,547.9497576370447,476.53169677849314
5,0,692.0,328.3828981232498,736.0686232722553
6,0,625.0,714.613703896244,272.3057900715412
7,0,575.0,509.426742954912,765.4261598600233
8,0,516.0,846.4070914277659,459.81770349025146
9,0,505.0,291.1976118182845,992.7923159646289
10,0,453.0,917.0438054095757,383.5798003168786
11,0,370.0,608.4844736156219,997.2136335753685
12,0,174.0,559.484350609793,1093.2098250326785
13,0,166.0,1084.2172791295598,564.1057917631713
14,0,76.0,562.3839752294048,1088.1019729501745
15,0,-5.0,922.4360746283019,863.715089879172
0,1,1044.0,-170.0249359415036,-161.14395975251546
1,1,1044.0,-170.30129401204238,-156.15576052204256
2,1,1044.0,-170.67557814073882,-154.74089831761285
3,1,1044.0,-171.1799564512413,-152.99680173189972
4,1,1044.0,-172.44052822959088,-149.8035887632493
5,1,1044.0,-173.79264481189682,-147.34206730585902
6,1,1044.0,-179.6645511587351,-143.80696139947167
7,1,1044.0,-180.33954886286688,-143.4602660737496
8,1,1044.0,-181.50639765561732,-142.92748116483244
9,1,1044.0,-184.30246256366934,-142.04136840633896
10,1,1044.0,-186.9359505272023,-141.39773709393285
11,1,1044.0,-195.54513424857248,-139.49622160126364
12,0,1044.0,-196.34792618439508,-139.47066441238894
13,1,1043.0,-233.0249359415036,133.85604024748454
14,1,1043.0,-233.30129401204238,138.84423947795744
15,1,1043.0,-233.67557814073882,140.25910168238693
16,1,1043.0,-234.1799564512413,142.00319826810028
17,1,1043.0,-235.44052822959088,145.19641123675046
18,1,1043.0,-236.79264481189682,147.65793269414098
19,1,1043.0,-242.6645511587351,151.19303860052833
20,1,1043.0,-243.33954886286688,151.5397339262504
21,1,1043.0,-244.50639765561732,152.07251883516733
22,1,1043.0,-247.30246256366934,152.95863159366104
23,1,1043.0,-249.9359505272023,153.60226290606693
24,1,1043.0,-256.3119788141739,155.01054003915692
25,0,1043.0,-256.97468753898875,155.06418899579467
26,1,1012.0,-76.0249359415036,-6.143959752515457
27,1,1012.0,-76.02739024747711,-6.099660097565447
28,1,1012.0,-76.30129401204249,-1.1557605220425557
29,1,1012.0,-76.67557814073893,0.25910168238692677
30,1,1012.0,-77.17995645124142,2.0031982681002773
31,1,1012.0,-78.44052822959065,5.196411236750464
32,1,1012.0,-79.79264481189693,7.657932694140982
33,1,1012.0,-85.66455115873487,11.193038600528325
34,1,1012.0,-86.33954886286665,11.539733926250392
35,1,1012.0,-87.50639765561755,12.07251883516733
36,1,1012.0,-90.30246256366945,12.958631593661039
37,1,1012.0,-92.93595052720252,13.602262906066926
38,1,1012.0,-101.54513424857237,15.503778398736358
39,0,1012.0,-102.34792618439519,15.529335587611058
40,1,1006.0,-233.0249359415036,153.85604024748454
41,1,1006.0,-233.30129401204238,158.84423947795744
