,connected,z_0,z_1,z_2
0,0,1092.0,511.0437814216525,-219.17755753497988
1,0,1024.0,508.3756233612419,-51.25514014262865
2,0,999.0,196.53351281339042,90.67157591382863
3,0,613.0,897.3956976479167,-38.59662856620366
4,0,524.0,1015.4282494873685,-75.44355534490649
5,0,334.0,496.2586881176144,505.6723486063653
6,0,222.0,778.4385645377286,307.26310100594935
7,0,140.0,613.7473463180827,526.210645071236
8,0,102.0,21.5120246714705,690.777682735138
9,0,-128.0,239.54536400416055,716.9640587101889
10,0,-248.0,130.51886448819027,771.7760122035328
11,0,-344.0,495.8535160416054,699.3325420637951
0,1,1335.0,-87.62752198654937,-460.2395240558717
1,1,1335.0,-87.76364329631565,-459.241408893761
2,1,1335.0,-91.42680299125436,-446.5231315222443
3,1,1335.0,-92.77915451895035,-442.8083090379008
4,1,1335.0,-92.94186046511629,-442.515503875969
5,1,1335.0,-97.94571773220741,-434.7121029352634
6,1,1335.0,-101.48197115384619,-430.00420673076917
7,1,1335.0,-107.468085106383,-424.26779163609694
8,1,1335.0,-116.39990880072958,-416.7282261741906
9,1,1335.0,-123.59106529209623,-412.2508591065292
10,1,1335.0,-125.53663466397165,-411.1071248105104
11,1,1335.0,-126.67370572207085,-410.7186648501362
12,1,1335.0,-137.87648809523807,-407.90922619047626
13,0,1335.0,-139.20494273658824,-407.6738999397228
14,1,1288.0,-137.2050423384203,-381.59477905882727
15,1,1288.0,-139.71206079301783,-372.54420284402977
16,1,1288.0,-141.79666261265209,-365.3065865894315
17,1,1288.0,-143.0036336109008,-362.666111531668
18,1,1288.0,-144.4222806441012,-359.8373315806771
19,1,1288.0,-144.6470588235294,-359.47058823529414
20,1,1288.0,-159.468085106383,-345.26779163609694
21,1,1288.0,-168.39990880072958,-337.7282261741906
22,1,1288.0,-175.59106529209623,-333.2508591065292
23,1,1288.0,-177.53663466397165,-332.1071248105104
24,1,1288.0,-178.67370572207085,-331.7186648501362
25,1,1288.0,-189.87648809523807,-328.90922619047626
26,0,1288.0,-191.20494273658824,-328.6738999397228
27,1,1286.0,24.7949576615797,-303.59477905882727
28,1,1286.0,22.287939206982173,-294.54420284402977
29,1,1286.0,20.203337387347574,-287.3065865894315
30,1,1286.0,18.996366389098966,-284.666111531668
31,1,1286.0,17.824307461192575,-282.32902787445744
32,1,1286.0,17.577719355898807,-281.8373315806771
33,1,1286.0,17.35294117647095,-281.47058823529403
34,1,1286.0,2.531914893617113,-267.26779163609683
35,1,1286.0,-6.3999088007296905,-259.7282261741906
36,1,1286.0,-13.591065292096118,-255.25085910652922
37,1,1286.0,-15.536634663971881,-254.1071248105104
