,connected,z_0,z_1,z_2
0,0,818.0,577.4455765442751,222.40402881952127
1,0,705.0,681.708397519473,161.34104318836876
2,0,685.0,758.0092345750481,225.54483648311475
3,0,570.0,279.23011748208705,644.8410197429744
4,0,325.0,153.11711536823032,717.3543989571783
0,1,1050.0,388.0694760435365,203.91043703934884
1,1,1050.0,388.04722602487686,204.7300559732539
2,1,1050.0,387.93581145583084,206.56055779329768
3,1,1050.0,387.5718432905744,208.25986368756253
4,1,1050.0,386.79210128376485,210.60783316205016
5,1,1050.0,385.56790930921284,213.54928148701606
6,1,1050.0,383.7751651264018,217.69956411039857
7,1,1050.0,382.49020533077305,219.80556928285114
8,1,1050.0,381.994230891542,220.55164077849327
9,1,1050.0,381.57407290017613,221.09557504667555
10,1,1050.0,379.93788490417865,222.53105021921806
11,1,1050.0,379.216465769852,223.09350459690427
12,1,1050.0,378.9999612719032,223.21881897765343
13,1,1050.0,367.78685627817435,226.71594073106735
14,1,1050.0,367.3819883311637,226.8281782372585
15,1,1050.0,363.99893040706615,227.64554238014193
16,1,1050.0,360.9230686323567,228.1521190192077
17,0,1050.0,357.1483027377153,228.26589887555429
18,1,1032.0,143.78473700804875,228.26589887555429
19,1,1032.0,143.5718432905744,229.25986368756253
20,1,1032.0,142.79210128376485,231.60783316205016
21,1,1032.0,142.5260416707315,232.24711247392725
22,1,1032.0,139.9552104835459,238.11556725987612
23,1,1032.0,139.50894899933587,238.73935794673548
24,1,1032.0,137.56977466247145,241.36484415397922
25,1,1032.0,135.97090402498497,243.50208158709734
26,1,1032.0,135.93788490417865,243.53105021921806
27,1,1032.0,135.216465769852,244.09350459690427
28,1,1032.0,134.9999612719032,244.21881897765343
29,1,1032.0,133.91524087516063,244.5571195017228
30,1,1032.0,125.42735111899424,247.150307927614
31,1,1032.0,123.70785000571573,247.56837861754025
32,1,1032.0,121.43336715237956,248.03692778725826
33,1,1032.0,120.3440803850101,248.1964147592421
34,1,1032.0,118.56673675184493,248.43345798842552
35,1,1032.0,117.5000905362574,248.56614600772264
36,0,1032.0,104.05122829422703,249.12935700359617
37,1,1026.0,489.0694760435365,-42.089562960651165
38,1,1026.0,489.04722602487686,-41.26994402674609
39,1,1026.0,488.93581145583084,-39.439442206702324
40,1,1026.0,488.5718432905744,-37.74013631243747
41,1,1026.0,487.79210128376485,-35.392166837949844
42,1,1026.0,486.56790930921284,-32.45071851298394
43,1,1026.0,484.7751651264018,-28.30043588960143
44,1,1026.0,483.49020533077305,-26.19443071714886
45,1,1026.0,482.994230891542,-25.448359221506735
46,1,1026.0,482.57407290017613,-24.90442495332445
47,1,1026.0,480.93788490417865,-23.46894978078194
48,1,1026.0,480.216465769852,-22.906495403095732
49,1,1026.0,479.9999612719032,-22.781181022346573
50,1,1026.0,468.78685627817435,-19.28405926893265
51,1,1026.0,468.3819883311637,-19.1718217627415
52,1,1026.0,464.99893040706615,-18.354457619858067
53,1,1026.0,461.9230686323567,-17.847880980792297
54,0,1026.0,458.1483027377153,-17.734101124445715
55,1,1018.0,413.0694760435365,137.91043703934884
56,1,1018.0,413.04722602487686,138.7300559732539
57,1,1018.0,412.93581145583084,140.56055779329768
58,1,1018.0,412.5718432905744,142.25986368756253
59,1,1018.0,411.79210128376485,144.60783316205016
60,1,1018.0,410.56790930921284,147.54928148701606
61,1,1018.0,408.7751651264018,151.69956411039857
62,1,1018.0,407.49020533077305,153.80556928285114
63,1,1018.0,406.994230891542,154.55164077849327
64,1,1018.0,406.57407290017613,155.09557504667555
65,1,1018.0,404.93788490417865,156.53105021921806
66,1,1018.0,404.216465769852,157.09350459690427
67,1,1018.0,403.9999612719032,157.21881897765343
68,1,1018.0,392.78685627817435,160.71594073106735
69,1,1018.0,392.3819883311637,160.8281782372585
70,1,1018.0,388.99893040706615,161.64554238014193
71,0,1018.0,388.0694760435365,161.79861813650814
72,1,1006.0,565.9403022754104,21.471519893475488
73,1,1006.0,565.9358114558308,21.560557793297676
74,1,1006.0,565.592626742748,23.162829259410955
75,1,1006.0,565.5718432905751,23.25986368756321
76,1,1006.0,564.7921012837644,25.607833162050383
77,1,1006.0,563.5679093092131,28.54928148701606
78,1,1006.0,561.7751651264018,32.69956411039834
79,1,1006.0,560.490205330773,34.80556928285114
80,1,1006.0,559.994230891542,35.551640778493265
81,1,1006.0,559.5740729001759,36.095575046675776
82,1,1006.0,557.9378849041786,37.53105021921806
83,1,1006.0,557.216465769852,38.09350459690427
84,1,1006.0,557.0953745545851,38.16359307450648
85,1,1006.0,551.1521007350532,39.897617867166446
86,1,1006.0,547.8250943821761,40.682425049692256
87,1,1006.0,546.413214400143,40.96299589383557
88,1,1006.0,543.8431235953194,41.38148433806873
89,0,1006.0,540.851538440608,41.415266416505574
90,1,998.0,489.94030227541043,201.4715198934755
91,1,998.0,489.93581145583084,201.56055779329768
92,1,998.0,489.5718432905744,203.25986368756253
93,1,998.0,488.79210128376485,205.60783316205016
94,1,998.0,487.56790930921284,208.54928148701606
95,1,998.0,486.88433587613736,210.13178442764843
96,1,998.0,485.7751651264018,212.6995641103988
97,1,998.0,484.49020533077305,214.80556928285114
98,1,998.0,483.994230891542,215.55164077849304
99,1,998.0,483.57407290017613,216.09557504667487
100,1,998.0,481.9378849041789,217.5310502192185
101,1,998.0,481.216465769852,218.09350459690427
102,1,998.0,481.09537455458485,218.16359307450625
103,1,998.0,475.1521007350527,219.89761786716667
104,1,998.0,471.8250943821761,220.6824250496927
105,1,998.0,470.41321440014303,220.96299589383557
106,1,998.0,467.8431235953194,221.38148433806896
107,0,998.0,464.851538440608,221.41526641650557
108,1,991.0,581.0694760435365,46.910437039348835
109,1,991.0,581.0472260248769,47.73005597325391
110,1,991.0,580.9975018022933,48.54700729944125
111,1,991.0,580.9358114558308,49.560557793297676
112,1,991.0,580.5718432905746,51.259863687562984
113,1,991.0,579.7921012837649,53.6078331620497
114,1,991.0,578.5679093092128,56.54928148701606
115,1,991.0,576.7751651264018,60.69956411039857
116,1,991.0,575.4902053307728,62.80556928285159
117,1,991.0,574.994230891542,63.551640778493265
118,1,991.0,574.5740729001761,64.09557504667555
119,1,991.0,572.9378849041791,65.53105021921829
120,1,991.0,572.216465769852,66.09350459690427
121,1,991.0,571.9999612719032,66.21881897765365
122,1,991.0,560.7868562781744,69.71594073106758
