,average_num_tabu_constraints,elapsed_time_in_seconds,elapsed_time_in_seconds_for_search_problem,elapsed_time_in_seconds_for_slice_problem,num_milp_solved,num_search_problems
0,1.0,0.06,0.04,0.02,2,5
1,2.12,0.15,0.13,0.02,6,8
2,2.73,0.38,0.37,0.01,9,11
3,3.0,0.26,0.25,0.0,4,11
4,3.09,0.09,0.08,0.01,1,11
5,3.67,0.08,0.07,0.01,1,6
6,5.22,0.25,0.24,0.01,3,9
7,4.79,0.39,0.36,0.02,5,14
8,5.06,0.77,0.76,0.01,11,16
9,5.19,0.59,0.58,0.0,5,16
10,5.59,0.25,0.24,0.01,2,17
11,5.48,0.46,0.45,0.01,4,21
12,5.73,0.41,0.4,0.01,6,22
13,4.85,0.28,0.26,0.01,3,13
14,7.2,0.75,0.73,0.01,6,15
15,9.0,0.6,0.59,0.01,5,18
16,9.11,0.57,0.56,0.01,4,18
17,9.11,0.19,0.18,0.0,1,18
18,9.29,0.22,0.19,0.02,2,17
19,10.19,0.61,0.6,0.01,8,16
20,10.31,0.52,0.51,0.0,4,16
21,10.38,0.17,0.16,0.01,1,16
22,11.24,0.37,0.36,0.01,2,17
23,11.35,0.55,0.54,0.01,3,17
24,11.41,0.28,0.26,0.01,1,17
25,11.47,0.27,0.26,0.01,1,17
26,11.53,0.26,0.25,0.01,1,17
27,11.31,0.21,0.2,0.0,1,16
28,12.61,0.8,0.78,0.01,4,18
29,11.23,0.95,0.93,0.02,5,22
30,11.83,0.98,0.96,0.01,9,18
31,14.14,1.48,1.46,0.01,8,21
32,14.29,1.19,1.18,0.0,5,21
33,15.29,0.32,0.31,0.01,2,21
34,15.43,0.91,0.9,0.01,5,21
35,15.48,0.29,0.28,0.0,1,21
36,15.52,0.31,0.3,0.0,1,21
37,15.57,0.29,0.27,0.01,1,21
38,15.62,0.27,0.26,0.01,1,21
39,15.67,0.31,0.3,0.0,1,21
40,15.71,0.32,0.31,0.0,1,21
41,15.76,0.33,0.32,0.01,1,21
42,15.81,0.39,0.38,0.01,2,21
43,16.81,0.33,0.32,0.01,2,16
44,19.95,1.62,1.6,0.01,6,20
45,17.56,1.41,1.38,0.02,6,25
46,17.69,1.57,1.56,0.0,9,26
47,17.77,0.59,0.59,0.0,2,26
48,17.81,0.36,0.34,0.0,1,26
49,17.85,0.36,0.35,0.0,1,26
50,17.88,0.5,0.49,0.01,2,26
51,18.64,0.51,0.49,0.02,2,28
52,19.62,2.35,2.34,0.01,6,26
53,18.3,1.29,1.27,0.01,4,30
54,17.04,0.96,0.95,0.01,5,27
55,16.46,0.75,0.73,0.01,3,26
56,19.5,0.52,0.5,0.02,2,18
57,22.67,3.5,3.48,0.01,9,21
58,22.76,1.84,1.83,0.01,4,21
59,22.81,0.51,0.5,0.0,1,21
60,22.86,0.49,0.48,0.01,1,21
61,22.9,0.5,0.49,0.01,1,21
62,22.95,0.51,0.5,0.0,1,21
63,23.0,0.52,0.51,0.01,1,21
64,23.93,0.88,0.87,0.01,2,15
65,24.13,2.46,2.45,0.01,5,15
66,26.0,0.82,0.8,0.02,2,14
67,26.44,2.6,2.59,0.01,8,16
68,26.62,1.32,1.31,0.01,3,16
69,27.21,0.93,0.92,0.01,2,19
70,27.37,1.98,1.98,0.0,4,19
71,32.83,1.03,1.02,0.01,2,12
72,31.69,2.78,2.77,0.01,6,13
73,31.9,1.56,1.55,0.01,5,10
74,32.5,1.69,1.69,0.0,3,8
75,36.14,1.74,1.73,0.0,3,7
76,40.17,1.03,1.02,0.01,3,6
77,42.86,0.88,0.87,0.01,2,7
78,48.0,1.33,1.32,0.01,3,8
79,45.64,3.53,3.52,0.01,6,11
80,46.82,2.95,2.94,0.01,5,11
81,47.18,2.86,2.85,0.0,5,11
82,50.5,1.13,1.11,0.01,2,12
83,50.75,3.26,3.26,0.0,5,12
84,55.0,1.0,0.99,0.01,2,12
85,55.17,1.92,1.91,0.01,3,12
86,57.93,1.35,1.34,0.01,2,14
87,56.77,1.57,1.56,0.01,3,13
88,59.91,0.47,0.46,0.01,1,11
89,58.5,1.77,1.75,0.01,3,12
90,61.9,1.4,1.39,0.01,3,10
91,65.2,1.52,1.5,0.02,3,10
92,65.25,1.57,1.56,0.01,3,8
93,64.09,3.06,3.04,0.01,4,11
94,65.11,3.66,3.65,0.01,5,9
95,65.11,0.47,0.47,0.01,1,9
96,67.62,1.27,1.25,0.01,2,8
97,75.0,0.94,0.93,0.01,2,3
98,76.0,1.48,1.46,0.02,3,2
99,76.0,0.94,0.92,0.01,2,2
100,74.0,0.94,0.92,0.02,2,1
