,average_num_tabu_constraints,elapsed_time_in_seconds,elapsed_time_in_seconds_for_search_problem,elapsed_time_in_seconds_for_slice_problem,num_milp_solved,num_search_problems
0,0.0,0.01,0.01,0.0,1,2
1,0.0,0.14,0.14,0.0,2,3
2,0.33,0.25,0.25,0.0,2,3
3,0.5,0.24,0.24,0.0,2,4
4,0.4,0.19,0.19,0.0,2,5
5,1.0,0.25,0.25,0.0,2,3
6,0.33,0.15,0.15,0.0,2,3
7,0.67,0.25,0.25,0.0,2,3
8,1.0,0.28,0.28,0.0,2,2
9,0.67,0.11,0.11,0.0,2,3
10,0.33,0.16,0.16,0.0,2,3
11,0.0,0.27,0.27,0.0,2,4
12,0.0,0.34,0.34,0.0,2,5
13,0.0,0.32,0.32,0.0,2,5
14,0.0,0.32,0.32,0.0,2,5
15,0.0,0.28,0.28,0.0,2,6
16,0.25,0.27,0.27,0.0,2,4
17,0.2,0.39,0.39,0.0,2,5
18,0.17,0.31,0.31,0.0,2,6
19,0.4,0.33,0.33,0.0,2,5
20,0.33,0.32,0.32,0.0,2,6
21,0.33,0.39,0.39,0.0,2,6
22,0.29,0.41,0.4,0.0,2,7
23,1.0,0.26,0.26,0.0,2,2
24,1.5,0.37,0.37,0.0,2,2
25,0.0,0.32,0.32,0.0,2,3
26,0.0,0.34,0.34,0.0,2,4
27,0.0,0.37,0.36,0.0,2,3
28,0.0,0.36,0.36,0.0,2,4
29,0.0,0.22,0.22,0.0,2,5
30,0.0,0.2,0.2,0.0,2,6
31,0.0,0.36,0.36,0.0,2,7
32,0.14,0.26,0.26,0.0,2,7
33,0.29,0.31,0.3,0.0,2,7
34,0.38,0.35,0.35,0.0,2,8
35,0.11,0.29,0.28,0.0,2,9
36,0.38,0.41,0.41,0.0,2,8
37,0.33,0.42,0.42,0.0,2,9
38,0.62,0.21,0.21,0.0,2,8
39,0.5,0.38,0.38,0.0,2,8
40,0.62,0.31,0.31,0.0,2,8
41,0.56,0.31,0.3,0.0,2,9
42,0.88,0.28,0.28,0.0,2,8
43,1.12,0.43,0.43,0.0,2,8
44,0.78,0.3,0.3,0.0,2,9
45,0.86,0.37,0.36,0.0,2,7
46,0.38,0.37,0.37,0.0,2,8
47,1.0,0.41,0.41,0.0,2,5
48,1.0,0.46,0.45,0.0,2,6
49,0.57,0.36,0.36,0.0,2,7
50,0.57,0.32,0.32,0.0,2,7
51,0.71,0.3,0.3,0.0,2,7
52,0.62,0.29,0.29,0.0,2,8
53,0.44,0.42,0.42,0.0,2,9
54,0.57,0.34,0.34,0.0,2,7
55,0.57,0.36,0.36,0.0,2,7
56,0.5,0.34,0.34,0.0,2,8
57,0.44,0.36,0.36,0.0,2,9
58,0.56,0.32,0.32,0.0,2,9
59,0.6,0.38,0.37,0.0,2,10
60,0.6,0.18,0.18,0.0,2,10
61,0.67,0.35,0.35,0.0,2,6
62,0.67,0.34,0.34,0.0,2,6
63,0.71,0.37,0.37,0.0,2,7
64,0.62,0.34,0.34,0.0,2,8
65,0.62,0.38,0.37,0.0,2,8
66,0.56,0.47,0.47,0.0,2,9
67,0.2,0.22,0.22,0.0,2,10
68,0.18,0.37,0.37,0.0,2,11
69,0.0,0.42,0.42,0.0,2,12
70,0.67,0.32,0.31,0.0,2,6
71,1.0,0.4,0.4,0.0,2,6
72,1.0,0.39,0.39,0.0,2,4
73,1.0,0.39,0.39,0.0,2,5
74,0.17,0.32,0.31,0.0,2,6
75,0.33,0.43,0.43,0.0,2,6
76,0.14,0.37,0.37,0.0,2,7
77,0.12,0.32,0.32,0.0,2,8
78,0.0,0.42,0.42,0.0,2,9
79,0.14,0.38,0.38,0.0,2,7
80,0.43,0.38,0.38,0.0,2,7
81,0.83,0.44,0.44,0.0,2,6
82,0.57,0.31,0.31,0.0,2,7
83,0.43,0.41,0.4,0.0,2,7
84,0.57,0.34,0.34,0.0,2,7
85,0.43,0.34,0.34,0.0,2,7
86,0.5,0.47,0.47,0.0,2,8
87,0.5,0.41,0.41,0.0,2,8
88,0.44,0.36,0.36,0.0,2,9
89,0.1,0.34,0.34,0.0,2,10
90,0.33,0.48,0.47,0.0,2,9
91,0.56,0.26,0.26,0.0,2,9
92,0.4,0.28,0.27,0.0,2,10
93,0.88,0.34,0.34,0.0,2,8
94,1.67,0.69,0.68,0.0,2,6
95,1.0,0.57,0.57,0.0,2,7
96,1.0,0.34,0.34,0.0,2,7
97,0.88,0.35,0.35,0.0,2,8
98,0.56,0.29,0.29,0.0,2,9
99,0.5,0.51,0.51,0.0,2,10
100,0.45,0.38,0.38,0.0,2,11
101,0.78,0.48,0.47,0.0,2,9
102,1.17,0.54,0.53,0.0,2,6
103,2.25,0.66,0.66,0.0,2,4
104,0.8,0.42,0.42,0.0,2,5
105,0.6,0.4,0.39,0.0,2,5
106,1.0,0.28,0.28,0.0,2,4
107,1.25,0.38,0.38,0.0,2,4
108,0.6,0.45,0.45,0.0,2,5
109,0.0,0.25,0.25,0.0,2,6
110,0.0,0.48,0.48,0.0,2,7
111,0.33,0.31,0.31,0.0,2,6
112,0.0,0.32,0.32,0.0,2,7
113,0.0,0.25,0.25,0.0,2,7
114,0.14,0.33,0.33,0.0,2,7
115,0.12,0.27,0.27,0.0,2,8
116,0.11,0.48,0.47,0.0,2,9
117,0.22,0.48,0.48,0.0,2,9
118,0.3,0.3,0.3,0.0,2,10
119,0.18,0.45,0.44,0.0,2,11
120,0.17,0.32,0.32,0.0,2,12
121,0.0,0.38,0.38,0.0,2,13
122,0.0,0.33,0.33,0.0,2,14
123,0.3,0.51,0.5,0.0,2,10
124,1.0,0.38,0.38,0.0,2,7
125,0.88,0.36,0.35,0.0,2,8
126,0.56,0.31,0.31,0.0,2,9
127,0.67,0.53,0.53,0.0,2,9
128,0.2,0.47,0.47,0.0,2,10
129,0.2,0.36,0.36,0.0,2,10
130,0.3,0.51,0.51,0.0,2,10
131,0.0,0.43,0.43,0.0,2,11
132,0.0,0.54,0.54,0.0,2,12
133,0.0,0.32,0.32,0.0,2,13
134,0.83,0.4,0.39,0.0,2,6
135,0.57,0.39,0.39,0.0,2,7
136,0.5,0.27,0.27,0.0,2,8
137,0.5,0.33,0.33,0.0,2,8
138,0.62,0.62,0.61,0.0,2,8
