,z_0,z_1,z_2,connected
0,1412.0,949.1330169685157,-202.37979654610285,0
1,1204.0,1065.7223416643278,178.78599918016175,0
2,972.0,1458.4687366867083,-17.610182464451555,0
0,1916.0,-142.48935748314216,-49.07249100786089,1
1,1916.0,-142.51617612838118,-48.09333102345113,1
2,1916.0,-142.73969728511656,-41.288074673486335,1
3,1916.0,-142.85684653317867,-38.10715334446945,1
4,1916.0,-142.90495329133614,-37.04419877400528,1
5,1916.0,-142.9163415875396,-36.880382267298046,1
6,1916.0,-143.0451898127742,-35.788224149783446,1
7,1916.0,-143.24376292341822,-34.79484342261321,1
8,1916.0,-143.4417427933322,-33.95401530178742,1
9,1916.0,-144.46079074322392,-31.321169455431345,1
10,1916.0,-145.4220899177917,-29.10724950453482,1
11,1916.0,-150.71510797431688,-17.25135761522415,1
12,1916.0,-150.81930726579935,-17.024483823646506,1
13,1916.0,-151.0124046729445,-16.651689388006844,1
14,1916.0,-151.33781595666892,-16.045831384815074,1
15,1916.0,-152.2615295039675,-14.686415005499612,1
16,1916.0,-162.50988420101976,-1.6170162269729644,1
17,1916.0,-164.10752546794356,0.2762130634728237,1
18,1916.0,-164.5136396559567,0.7330318237127358,1
19,1916.0,-164.7307500892207,0.9376283107390009,1
20,1916.0,-165.60683643861125,1.6722949291220175,1
21,1916.0,-165.7133151389205,1.7537598168819386,1
22,1916.0,-167.72054965517782,3.038867037801083,1
23,1916.0,-168.80487811006265,3.7097939869724996,1
24,1916.0,-169.618079290364,4.012347033986316,1
25,1916.0,-170.29810937035109,4.246738358831408,1
26,1916.0,-170.79768265090138,4.398031426277612,1
27,1916.0,-172.1643304200336,4.558027693867416,1
28,1916.0,-172.55292676906356,4.594590842387333,1
29,1916.0,-181.76387383908173,4.8616485883221685,1
30,1916.0,-182.3915928513436,4.877046133580507,1
31,1916.0,-183.72627267050007,4.902062915915849,1
32,1916.0,-184.4518150025151,4.911949859378183,0
33,1887.0,-54.48935748314216,-133.0724910078609,1
34,1887.0,-54.516176128381176,-132.09333102345113,1
35,1887.0,-54.73969728511656,-125.28807467348634,1
36,1887.0,-54.85684653317867,-122.10715334446945,1
37,1887.0,-54.90495329133614,-121.04419877400528,1
38,1887.0,-54.91634158753959,-120.88038226729805,1
39,1887.0,-55.12424769879999,-119.1181046210213,1
40,1887.0,-55.210783286962396,-118.57079192742754,1
41,1887.0,-55.51684798459178,-116.75601793201918,1
42,1887.0,-57.765743679844945,-107.51950849715968,1
43,1887.0,-58.32137571626458,-105.50746658319031,1
44,1887.0,-58.79076948725469,-104.1872016731079,1
45,1887.0,-59.87399348810459,-101.66037054034632,1
46,1887.0,-60.90716487229383,-99.66194808436376,1
47,1887.0,-61.41639728370774,-98.70993455091389,1
48,1887.0,-61.55281563764083,-98.48834680189725,1
49,1887.0,-63.15918912714892,-96.07109133799577,1
50,1887.0,-63.77256606625838,-95.22165856951551,1
51,1887.0,-64.95803175268998,-93.71241081747667,1
52,1887.0,-65.72954864972485,-92.81659534930418,1
53,1887.0,-66.4532059125579,-92.02012648591813,1
54,1887.0,-69.00916211111917,-89.37985539228521,1
55,1887.0,-70.53884402223662,-87.83301088575217,1
56,1887.0,-71.50134005132463,-86.86872722517842,1
57,1887.0,-71.73981865778273,-86.64152634601783,1
58,1887.0,-72.94297138712113,-85.56463118594866,1
59,1887.0,-74.13345008995066,-84.52033109042304,1
60,1887.0,-74.60241195974822,-84.13239973972986,1
61,1887.0,-75.42437658010135,-83.61938497189931,1
62,1887.0,-79.24278866743475,-81.25674700838135,1
63,1887.0,-80.08564539259896,-80.76624115484515,1
64,1887.0,-81.20805494483943,-80.14167080279412,1
65,1887.0,-81.52617864282433,-80.01893867921308,1
66,1887.0,-82.52804053636896,-79.67395938276354,1
67,1887.0,-83.0147933510857,-79.52544462012656,1
68,1887.0,-83.88319902374019,-79.39721714114921,1
69,1887.0,-85.28239728097105,-79.31949945865108,1
70,1887.0,-85.82215776539829,-79.30041966121576,1
71,1887.0,-86.88874948552166,-79.27220048218805,1
72,1887.0,-88.7231594035627,-79.23277206097919,0
73,1887.0,-122.48935748314216,1.92750899213911,1
74,1887.0,-122.51617612838118,2.906668976548872,1
75,1887.0,-122.73969728511656,9.711925326513665,1
76,1887.0,-122.79594744390852,11.239270425377072,0
77,1887.0,-126.25707429523368,29.259686594163213,1
78,1887.0,-126.32137571626458,29.492533416809692,1
79,1887.0,-126.79076948725469,30.812798326892107,1
80,1887.0,-127.87399348810459,33.33962945965368,1
81,1887.0,-128.90716487229383,35.33805191563624,1
82,1887.0,-129.41639728370774,36.290065449086114,1
83,1887.0,-129.55281563764083,36.51165319810275,1
84,1887.0,-131.15918912714892,38.92890866200423,1
85,1887.0,-131.77256606625838,39.77834143048449,1
86,1887.0,-132.95803175268998,41.287589182523334,1
87,1887.0,-133.72954864972485,42.18340465069582,1
88,1887.0,-134.4532059125579,42.97987351408187,1
89,1887.0,-137.00916211111917,45.62014460771479,1
90,1887.0,-138.53884402223662,47.166989114247826,1
91,1887.0,-139.50134005132463,48.13127277482158,1
92,1887.0,-139.73981865778273,48.35847365398217,1
93,1887.0,-140.94297138712113,49.435368814051344,1
94,1887.0,-142.13345008995066,50.47966890957696,1
95,1887.0,-142.60241195974822,50.86760026027014,1
96,1887.0,-143.42437658010135,51.38061502810069,1
97,1887.0,-148.80487811006265,54.7097939869725,1
98,1887.0,-149.52617864282433,54.98106132078692,1
99,1887.0,-150.52804053636896,55.32604061723646,1
100,1887.0,-151.0147933510857,55.474555379873436,1
101,1887.0,-151.8831990237402,55.60278285885079,1
102,1887.0,-153.28239728097105,55.68050054134892,1
103,1887.0,-153.8221577653983,55.699580338784244,1
104,1887.0,-154.88874948552166,55.727799517811945,1
105,1887.0,-162.74429091242155,55.899031509604356,1
106,1887.0,-163.92303870826095,55.921273945492885,1
107,1887.0,-164.41424457645462,55.92871380672159,1
108,1887.0,-166.87373500781473,55.93074162139101,0
109,1865.0,34.51064251685784,115.92750899213934,1
110,1865.0,34.483823871618824,116.9066689765491,1
111,1865.0,34.26030271488344,123.71192532651389,1
112,1865.0,34.14315346682133,126.89284665553078,1
113,1865.0,34.09504670866386,127.95580122599495,1
114,1865.0,34.08365841246041,128.11961773270218,1
115,1865.0,33.87575230120001,129.88189537897892,1
116,1865.0,33.789216713037604,130.4292080725727,1
117,1865.0,33.48315201540822,132.24398206798105,1
118,1865.0,31.234256320155055,141.48049150284055,1
119,1865.0,30.678624283735417,143.49253341680992,1
120,1865.0,30.209230512745307,144.81279832689233,1
121,1865.0,29.12600651189541,147.3396294596539,1
122,1865.0,28.092835127706167,149.33805191563647,1
123,1865.0,27.583602716292262,150.29006544908634,1
124,1865.0,27.447184362359167,150.51165319810298,1
125,1865.0,26.01678193297016,152.6641090936978,0
126,1845.0,98.39353290636268,-206.59374909889289,1
127,1845.0,98.34712722422933,-204.04439862748063,1
128,1845.0,97.96452451869277,-201.56452279409586,1
129,1845.0,97.67426902629722,-200.39099747948148,1
130,1845.0,97.38188705422021,-199.3402822766791,1
131,1845.0,96.32380136643133,-196.20519340819897,1
132,1845.0,95.72329656628972,-194.52234492652155,1
133,1845.0,95.32861956840998,-193.4422706631276,1
134,1845.0,92.57791008220829,-187.10724950453482,1
135,1845.0,92.3727979016312,-186.64386201724187,1
136,1845.0,87.28489202568312,-175.25135761522415,1
137,1845.0,86.87138013246476,-174.35101549444926,1
138,1845.0,86.30670797023822,-173.28257067209688,1
139,1845.0,81.22213087945397,-165.02465370777986,1
140,1845.0,78.77471645520109,-161.35174355604045,1
141,1845.0,78.59537286219688,-161.1666677134308,1
142,1845.0,75.38699798505468,-158.02304715711193,1
143,1845.0,74.39809975827848,-157.21435401575127,1
144,1845.0,73.9326932443305,-156.8578048834354,1
145,1845.0,72.84220101043957,-156.06577294164663,1
146,1845.0,70.12339998948437,-154.13474707648675,1
147,1845.0,68.96699797637348,-153.37704713810945,1
148,1845.0,68.92329304222244,-153.36034593635281,1
149,1845.0,67.65601005529106,-152.98308379626337,1
150,1845.0,67.57243246092003,-152.97287640789045,1
151,1845.0,62.55817393325151,-152.7086979814335,0
152,1824.0,121.78256272472822,-148.96388436553957,1
153,1824.0,121.75211997180031,-148.78150958555716,1
154,1824.0,121.45771540583655,-147.31179148749084,0
155,1824.0,115.69046195049668,-130.87688593783332,1
156,1824.0,112.28489202568312,-123.25135761522415,1
157,1824.0,112.18069273420065,-123.0244838236465,1
158,1824.0,111.98759532705549,-122.65168938800684,1
159,1824.0,111.66218404333108,-122.04583138481507,1
160,1824.0,109.3469268745796,-118.64214153328248,1
161,1824.0,100.55857817102037,-107.2197462228246,1
162,1824.0,98.26924991077931,-105.062371689261,1
163,1824.0,95.49120329538641,-102.73592512712298,1
164,1824.0,94.97778932225037,-102.41663003516601,1
165,1824.0,94.31918553506148,-102.01922761738865,1
166,1824.0,93.9580069539079,-101.80751076986166,1
167,1824.0,90.8356695799664,-101.44197230613258,1
168,1824.0,90.52801621478193,-101.4130251075494,1
169,1824.0,90.37374633145942,-101.4034982261353,1
170,1824.0,85.49862860314897,-101.26983803757525,1
171,1824.0,84.64551065206524,-101.25608468340783,0
172,1824.0,53.78256272472822,-13.96388436553957,1
173,1824.0,53.74266950093647,-13.7343312137873,0
174,1823.0,186.42655139954195,47.07715920775331,1
175,1823.0,186.1852410643669,49.73873026791239,1
176,1823.0,186.1422309585114,50.06595150340604,1
177,1823.0,186.09064560588104,50.378143341239365,1
178,1823.0,185.9091132636836,51.060537964180185,1
179,1823.0,185.32380136643087,52.794806591801034,1
180,1823.0,184.72329656628972,54.477655073478445,1
181,1823.0,184.32861956840998,55.5577293368724,1
182,1823.0,181.5779100822083,61.89275049546518,1
183,1823.0,181.37279790163075,62.35613798275813,1
184,1823.0,176.28489202568335,73.74864238477585,1
185,1823.0,175.87138013246386,74.64898450555074,1
186,1823.0,175.30670797023868,75.71742932790312,1
187,1823.0,170.2221308794542,83.97534629222014,1
188,1823.0,167.7747164552011,87.64825644395955,1
189,1823.0,167.5501319590744,87.88001919701537,1
190,1823.0,166.38479955618777,89.03668171744334,0
191,1821.0,112.51064251685784,140.9275089921391,1
192,1821.0,112.48382387161882,141.90666897654887,1
193,1821.0,112.26030271488344,148.71192532651366,1
194,1821.0,112.14315346682133,151.89284665553055,1
195,1821.0,112.09504670866386,152.95580122599472,1
