,z_0,z_1,z_2,connected
0,1408.0,415.0590757484608,90.55562524509332,0
1,942.0,281.7194706085818,822.3399000106738,0
2,401.0,1155.070697536615,615.7512145476135,0
0,1723.0,-233.7021503009912,-766.3061713635814,1
1,1723.0,-234.98800442019115,-760.9760255582005,1
2,1723.0,-235.12372522970054,-760.745800737164,1
3,1723.0,-237.35798962106173,-757.1853324172141,1
4,1723.0,-238.42249688324068,-755.5105194193475,1
5,1723.0,-243.2060784251173,-749.2906527011464,1
6,1723.0,-244.68553086797715,-747.3877240204292,1
7,1723.0,-245.22994287014194,-746.7009833492514,1
8,1723.0,-245.41614276583118,-746.5380078219259,1
9,1723.0,-249.84966484866368,-742.9936812887122,1
10,1723.0,-250.6671497746495,-742.3457647885148,1
11,1723.0,-253.68438147700363,-740.2754721043214,1
12,1723.0,-255.7644664738243,-738.8605324074861,1
13,1723.0,-257.2907229573957,-737.970597496362,1
14,1723.0,-257.4092848016628,-737.904860206407,1
15,1723.0,-261.62199993847526,-735.7615961539416,1
16,1723.0,-261.75056515727465,-735.7010536784862,1
17,1723.0,-264.94476067033474,-734.3272479123257,1
18,1723.0,-266.9631772307612,-733.6742435294009,1
19,1723.0,-268.9912684735584,-733.0548724216403,1
20,1723.0,-271.1968002875519,-732.4278830236456,1
21,1723.0,-272.2069899550395,-732.2974434364257,1
22,1723.0,-274.72072670044645,-732.2416579197468,0
23,1721.0,-54.77358563321491,-520.0385537957079,1
24,1721.0,-55.36840911668014,-513.0656537022339,1
25,1721.0,-55.424212021058565,-512.7871999089705,1
26,1721.0,-55.99907833910129,-511.31375827167676,1
27,1721.0,-58.579603358121176,-504.8764793341702,1
28,1721.0,-58.88837767587347,-504.1449071088314,1
29,1721.0,-59.96134532891983,-501.74299863633587,1
30,1721.0,-61.97295735971829,-498.17120555014253,1
31,1721.0,-63.62735390801913,-495.4145847044017,1
32,1721.0,-64.83825692438836,-493.6366888455532,1
33,1721.0,-67.05366738234807,-490.6702489409854,1
34,1721.0,-69.38858397191484,-487.66068477906583,1
35,1721.0,-70.38308318611644,-486.5339706300099,1
36,1721.0,-71.36414596693976,-485.647631580905,1
37,1721.0,-72.27647177353674,-484.9130292700697,1
38,1721.0,-74.97868631720712,-482.76835265531463,1
39,1721.0,-76.11831552957301,-482.0080660586075,1
40,1721.0,-76.35526346677966,-481.878859576535,1
41,1721.0,-76.73306260588652,-481.69557958048654,1
42,1721.0,-81.33552312407278,-479.66027083075664,1
43,1721.0,-83.13237141329887,-478.95017216236715,1
44,1721.0,-83.49828069650744,-478.8374674145134,1
45,1721.0,-86.19317178879169,-478.1585981202986,1
46,1721.0,-90.27189570383075,-477.16444737802476,1
47,1721.0,-90.8469667249833,-477.03826226019123,1
48,1721.0,-91.22694626790872,-476.9945618372449,1
49,1721.0,-94.10116085573122,-476.7249997805102,0
50,1717.0,-179.3567267180756,-460.8965097681212,1
51,1717.0,-180.88975312572347,-460.34422392336205,1
52,1717.0,-182.51538804811094,-459.8109965887545,1
53,1717.0,-184.99126847355842,-459.0548724216403,1
54,1717.0,-187.19680028755192,-458.42788302364556,1
55,1717.0,-188.2069899550395,-458.29744343642574,1
56,1717.0,-190.72072670044645,-458.241657919747,0
57,1692.0,55.29784969900902,-731.3061713635814,1
58,1692.0,54.011995579808854,-725.9760255582005,1
59,1692.0,53.87627477029946,-725.745800737164,1
60,1692.0,51.64201037893827,-722.1853324172141,1
61,1692.0,50.57750311675932,-720.5105194193475,1
62,1692.0,45.79392157488269,-714.2906527011464,1
63,1692.0,44.31446913202285,-712.3877240204292,1
64,1692.0,42.554678174892615,-710.1715423215933,1
65,1692.0,41.96340601335646,-709.5016627471975,1
66,1692.0,41.86033839234051,-709.3941289378931,1
67,1692.0,40.50314802857724,-708.2818353767436,1
68,1692.0,37.959104819778986,-706.3185594254232,1
69,1692.0,34.75620375081712,-704.260306009362,1
70,1692.0,33.374234523320865,-703.4594145667879,1
71,1692.0,31.336200045678652,-702.362400902417,1
72,1692.0,30.469893506815424,-701.9421335100794,1
73,1692.0,28.3963912634772,-701.0369827047145,1
74,1692.0,26.152933254564914,-700.0801191222233,1
75,1692.0,24.110246874276527,-699.344223923362,1
76,1692.0,22.484611951889065,-698.8109965887545,1
77,1692.0,20.00873152644158,-698.0548724216403,1
78,1692.0,17.803199712448077,-697.4278830236456,1
79,1692.0,16.79301004496051,-697.2974434364257,1
80,1692.0,14.279273299553324,-697.2416579197468,0
81,1688.0,-113.7735856332149,-311.0385537957079,1
82,1688.0,-114.36840911668014,-304.06565370223393,1
83,1688.0,-114.42421202105857,-303.7871999089705,1
84,1688.0,-114.99907833910129,-302.31375827167676,1
85,1688.0,-117.57960335812118,-295.8764793341702,1
86,1688.0,-117.88837767587347,-295.1449071088314,1
87,1688.0,-118.96134532891983,-292.74299863633587,1
88,1688.0,-121.16421030971787,-288.8316192113937,1
89,1688.0,-122.43869546001406,-286.69158052397665,1
90,1688.0,-123.83825692438836,-284.6366888455532,1
91,1688.0,-126.05366738234807,-281.6702489409854,1
92,1688.0,-128.38858397191484,-278.66068477906583,1
93,1688.0,-129.38308318611644,-277.5339706300099,1
94,1688.0,-131.6276571363651,-275.5061151455334,1
95,1688.0,-134.78576936590775,-272.8532132720384,1
96,1688.0,-135.04126645999077,-272.68282744781504,1
97,1688.0,-136.00715964714277,-272.1641766438231,1
98,1688.0,-137.9796702508611,-271.2720902630954,1
99,1688.0,-139.2544719029206,-270.75423872603756,1
100,1688.0,-144.3435206690349,-268.74466328952417,1
101,1688.0,-147.1867886030343,-268.02841642480166,1
102,1688.0,-149.70789358579918,-267.41384353796525,1
103,1688.0,-150.4356452719826,-267.2541564229887,1
104,1688.0,-153.371914965845,-266.97877444519213,0
105,1684.0,63.0634474273586,-675.0734340302652,1
106,1684.0,62.84950020998804,-674.0187740948068,0
107,1684.0,56.00316001420492,-660.1632218255606,1
108,1684.0,53.79392157488269,-657.2906527011464,1
109,1684.0,52.31446913202285,-655.3877240204292,1
110,1684.0,50.554678174892615,-653.1715423215933,1
111,1684.0,49.96340601335646,-652.5016627471975,1
112,1684.0,49.86033839234051,-652.3941289378931,1
113,1684.0,48.50314802857724,-651.2818353767436,1
114,1684.0,45.959104819778986,-649.3185594254232,1
115,1684.0,42.75620375081712,-647.260306009362,1
116,1684.0,41.374234523320865,-646.4594145667879,1
117,1684.0,39.33620004567865,-645.362400902417,1
118,1684.0,38.469893506815424,-644.9421335100794,1
119,1684.0,36.3963912634772,-644.0369827047145,1
120,1684.0,34.152933254564914,-643.0801191222233,1
121,1684.0,32.11024687427653,-642.344223923362,1
122,1684.0,30.484611951889065,-641.8109965887545,1
123,1684.0,28.00873152644158,-641.0548724216403,1
124,1684.0,25.803199712448077,-640.4278830236456,1
125,1684.0,24.79301004496051,-640.2974434364257,1
126,1684.0,22.279273299553324,-640.241657919747,0
127,1665.0,108.22641436678532,-839.0385537957079,1
128,1665.0,107.63159088331986,-832.0656537022339,1
129,1665.0,107.57578797894143,-831.7871999089705,1
130,1665.0,106.59758087293608,-829.2830850759756,1
131,1665.0,104.26815474410841,-823.4948014424638,1
132,1665.0,102.95410177128883,-820.5503480750872,1
133,1665.0,101.43130824015566,-817.8448088533969,1
134,1665.0,99.37264609198087,-814.4145847044017,1
135,1665.0,98.16174307561164,-812.6366888455532,1
136,1665.0,95.94633261765193,-809.6702489409854,1
137,1665.0,93.61141602808516,-806.6606847790658,1
138,1665.0,92.61691681388356,-805.5339706300099,1
139,1665.0,91.63585403306024,-804.647631580905,1
140,1665.0,90.72352822646326,-803.9130292700697,1
141,1665.0,88.02131368279288,-801.7683526553146,1
142,1665.0,86.88168447042699,-801.0080660586075,1
143,1665.0,86.64473653322034,-800.878859576535,1
144,1665.0,86.26693739411348,-800.6955795804865,1
145,1665.0,82.57537048966833,-799.0630879184419,0
146,1664.0,-90.95530750292028,-460.8965097681212,1
147,1664.0,-91.34352066903489,-460.74466328952417,1
148,1664.0,-94.1867886030343,-460.02841642480166,1
149,1664.0,-96.03003290151105,-459.5790864772573,0
150,1664.0,-386.9867838269663,-249.05282217944978,1
151,1664.0,-387.1746145879456,-248.9003153037454,1
152,1664.0,-388.42748647888857,-247.91409700847566,1
153,1664.0,-390.3032220613943,-246.45581804362928,1
154,1664.0,-390.4334139828786,-246.35931968805562,1
