,average_num_tabu_constraints,elapsed_time_in_seconds,elapsed_time_in_seconds_for_search_problem,elapsed_time_in_seconds_for_slice_problem,num_milp_solved,num_search_problems
0,1.0,0.03,0.03,0.0,1,2
1,1.67,0.1,0.1,0.0,2,3
2,2.25,0.09,0.09,0.0,2,4
3,2.75,0.1,0.1,0.0,2,4
4,4.0,0.13,0.13,0.0,2,3
5,5.0,0.11,0.11,0.0,2,4
6,5.4,0.19,0.19,0.0,2,5
7,6.0,0.17,0.17,0.0,2,5
8,6.5,0.48,0.48,0.0,2,6
9,6.83,0.14,0.13,0.0,2,6
10,7.33,0.36,0.36,0.0,2,6
11,8.0,0.34,0.33,0.0,2,7
12,9.57,0.28,0.28,0.0,2,7
13,10.0,0.2,0.2,0.0,2,8
14,10.57,0.15,0.15,0.0,2,7
15,11.0,0.18,0.18,0.0,2,8
16,11.56,0.35,0.35,0.0,2,9
17,11.8,0.21,0.21,0.0,2,10
18,12.75,0.43,0.43,0.0,2,8
19,13.62,0.32,0.32,0.0,2,8
20,14.11,0.32,0.32,0.0,2,9
21,14.3,0.26,0.26,0.0,2,10
22,14.64,0.22,0.21,0.0,2,11
23,14.67,0.2,0.2,0.0,2,12
24,15.0,0.17,0.17,0.0,2,13
25,15.45,0.35,0.35,0.0,2,11
26,15.55,0.18,0.18,0.0,2,11
27,15.92,0.22,0.22,0.0,2,12
28,17.38,0.13,0.13,0.0,2,8
29,18.75,0.27,0.27,0.0,2,8
30,19.0,0.2,0.2,0.0,2,9
31,21.6,0.22,0.22,0.0,2,5
32,22.33,0.2,0.2,0.0,2,6
33,25.8,0.32,0.32,0.0,2,5
34,26.0,0.3,0.29,0.0,2,6
35,27.0,0.27,0.27,0.0,2,5
36,27.4,0.22,0.22,0.0,2,5
37,31.2,0.1,0.1,0.0,1,5
38,30.83,0.27,0.27,0.0,2,6
39,29.71,0.21,0.21,0.0,2,7
40,29.86,0.14,0.13,0.0,2,7
41,33.0,0.29,0.29,0.0,2,8
42,32.56,0.31,0.31,0.0,2,9
43,32.89,0.21,0.21,0.0,2,9
44,32.6,0.28,0.28,0.0,2,10
45,32.64,0.28,0.28,0.0,2,11
46,31.92,0.23,0.23,0.0,2,12
47,34.82,0.14,0.14,0.0,2,11
48,36.75,0.3,0.3,0.0,2,12
49,36.46,0.3,0.3,0.0,2,13
50,36.0,0.35,0.35,0.0,2,14
51,37.08,0.28,0.28,0.0,2,13
52,36.21,0.25,0.25,0.0,2,14
53,35.33,0.15,0.15,0.0,2,15
54,36.69,0.22,0.22,0.0,2,16
55,38.12,0.28,0.28,0.0,2,17
56,39.44,0.34,0.33,0.0,2,18
57,40.42,0.37,0.37,0.0,2,19
58,40.53,0.29,0.29,0.0,2,19
59,41.4,0.16,0.16,0.0,2,20
60,42.24,0.39,0.38,0.0,2,21
61,41.77,0.25,0.25,0.0,2,22
62,39.87,0.24,0.23,0.0,2,15
63,40.2,0.32,0.32,0.0,2,15
64,42.0,0.29,0.29,0.0,2,16
65,41.0,0.38,0.38,0.0,2,17
66,40.67,0.23,0.23,0.0,2,18
67,40.31,0.24,0.24,0.0,2,16
68,42.47,0.23,0.23,0.0,2,17
69,41.86,0.3,0.29,0.0,2,14
70,49.33,0.37,0.36,0.0,2,9
71,49.7,0.38,0.37,0.0,2,10
72,52.1,0.27,0.27,0.0,2,10
73,52.2,0.43,0.43,0.0,2,10
74,53.55,0.33,0.32,0.0,2,11
75,54.75,0.36,0.36,0.0,2,12
76,54.0,0.33,0.33,0.0,2,10
77,56.36,0.45,0.45,0.0,2,11
78,56.17,0.41,0.4,0.0,2,12
79,58.38,0.33,0.33,0.0,2,13
80,58.62,0.37,0.37,0.0,2,13
81,59.5,0.45,0.44,0.0,2,12
82,67.0,0.25,0.25,0.0,2,10
83,67.6,0.32,0.32,0.0,2,10
84,69.18,0.33,0.33,0.0,2,11
85,70.42,0.38,0.37,0.0,2,12
86,70.5,0.33,0.33,0.0,2,12
87,75.17,0.38,0.37,0.0,2,12
88,76.08,0.41,0.41,0.0,2,13
89,75.18,0.26,0.26,0.0,2,11
90,76.25,0.41,0.41,0.0,2,12
91,77.0,0.33,0.33,0.0,2,13
92,77.86,0.29,0.29,0.0,2,14
93,78.4,0.42,0.42,0.0,2,15
94,77.06,0.28,0.28,0.0,2,16
95,75.94,0.31,0.31,0.0,2,17
96,74.89,0.24,0.24,0.0,2,18
97,76.47,0.36,0.36,0.0,2,17
98,76.59,0.51,0.51,0.0,2,17
99,80.24,0.33,0.33,0.0,2,17
100,79.88,0.32,0.32,0.0,2,16
101,87.36,0.19,0.18,0.0,1,14
102,87.47,0.49,0.49,0.0,2,15
103,89.45,0.41,0.4,0.0,2,11
104,89.55,0.29,0.29,0.0,2,11
105,89.58,0.15,0.15,0.0,1,12
106,89.54,0.37,0.37,0.0,2,13
107,90.0,0.41,0.41,0.0,2,14
108,89.93,0.32,0.32,0.0,2,15
109,92.0,0.43,0.43,0.0,2,16
110,93.54,0.4,0.4,0.0,2,13
111,93.86,0.41,0.41,0.0,2,14
112,94.21,0.32,0.32,0.0,2,14
113,94.27,0.25,0.25,0.0,2,15
114,97.21,0.44,0.43,0.0,2,14
115,99.4,0.61,0.61,0.0,3,15
116,100.2,0.69,0.69,0.0,2,15
117,98.36,0.33,0.33,0.0,2,14
118,97.93,0.65,0.65,0.0,2,15
119,99.69,0.47,0.47,0.0,2,16
120,99.59,0.53,0.53,0.0,2,17
121,101.18,0.4,0.39,0.0,2,17
122,101.24,0.45,0.45,0.0,2,17
123,101.22,0.34,0.34,0.0,2,18
124,101.21,0.44,0.44,0.0,2,19
125,102.05,0.31,0.31,0.0,2,19
126,102.1,0.33,0.33,0.0,2,20
127,103.62,0.23,0.22,0.0,2,16
128,111.23,0.47,0.47,0.0,2,13
129,113.93,0.53,0.53,0.0,2,14
130,114.43,0.59,0.58,0.0,2,14
131,116.73,0.35,0.35,0.0,2,15
132,117.44,0.61,0.61,0.0,2,16
133,117.56,0.42,0.42,0.0,2,16
134,118.24,0.35,0.35,0.0,2,17
135,119.0,0.57,0.56,0.0,2,18
136,119.11,0.51,0.5,0.0,2,19
137,120.65,0.45,0.45,0.0,2,20
138,120.9,0.6,0.6,0.0,2,20
139,121.1,0.54,0.54,0.0,2,20
140,121.71,0.25,0.24,0.0,2,21
141,121.73,0.55,0.54,0.0,2,22
