,average_num_tabu_constraints,elapsed_time_in_seconds,elapsed_time_in_seconds_for_search_problem,elapsed_time_in_seconds_for_slice_problem,num_milp_solved,num_search_problems
0,1.0,0.03,0.03,0.0,1,2
1,1.67,0.09,0.09,0.0,2,3
2,2.67,0.12,0.12,0.0,2,3
3,3.33,0.11,0.1,0.0,2,3
4,6.5,0.14,0.14,0.0,2,2
5,7.33,0.17,0.17,0.0,2,3
6,8.0,0.19,0.19,0.0,2,4
7,8.75,0.28,0.28,0.0,2,4
8,9.5,0.3,0.3,0.0,2,4
9,11.33,0.53,0.53,0.0,2,3
10,15.0,0.22,0.22,0.0,2,3
11,15.75,0.14,0.14,0.0,2,4
12,16.2,0.18,0.17,0.0,2,5
13,17.2,0.2,0.2,0.0,2,5
14,17.67,0.16,0.15,0.0,2,6
15,18.6,0.2,0.2,0.0,2,5
16,19.17,0.24,0.24,0.0,2,6
17,19.57,0.23,0.23,0.0,2,7
18,20.0,0.3,0.29,0.0,2,7
19,20.5,0.25,0.25,0.0,2,8
20,20.88,0.2,0.2,0.0,2,8
21,22.14,0.3,0.29,0.0,2,7
22,22.38,0.49,0.48,0.0,2,8
23,22.22,0.31,0.31,0.0,2,9
24,22.3,0.25,0.25,0.0,2,10
25,22.45,0.26,0.26,0.0,2,11
26,23.08,0.43,0.42,0.0,2,12
27,23.33,0.33,0.33,0.0,2,12
28,24.78,0.26,0.25,0.0,2,9
29,24.7,0.3,0.3,0.0,2,10
30,25.8,0.28,0.28,0.0,2,10
31,26.0,0.47,0.47,0.0,2,11
32,26.45,0.44,0.43,0.0,2,11
33,26.58,0.62,0.62,0.0,3,12
34,26.62,0.26,0.26,0.0,2,13
35,27.83,0.44,0.43,0.0,2,12
36,28.4,0.56,0.56,0.0,2,10
37,29.44,0.48,0.47,0.0,2,9
38,30.3,0.4,0.4,0.0,3,10
39,30.91,0.34,0.34,0.0,2,11
40,31.36,0.38,0.38,0.0,2,11
41,31.42,0.34,0.34,0.0,2,12
42,31.0,0.38,0.38,0.0,2,13
43,31.15,0.22,0.21,0.0,2,13
44,31.54,0.3,0.3,0.0,2,13
45,31.69,0.34,0.34,0.0,2,13
46,32.21,0.25,0.25,0.0,2,14
47,32.6,0.26,0.25,0.0,2,15
48,33.33,0.55,0.55,0.0,2,15
49,33.75,0.42,0.41,0.0,2,16
50,35.4,0.44,0.44,0.0,2,15
51,37.77,0.5,0.5,0.0,2,13
52,39.07,0.42,0.42,0.0,2,14
53,39.36,0.41,0.41,0.0,2,14
54,39.27,0.49,0.49,0.0,2,15
55,39.47,0.59,0.58,0.0,2,15
56,38.71,0.49,0.49,0.0,2,14
57,40.33,0.32,0.32,0.0,2,15
58,41.88,0.5,0.49,0.0,2,16
59,43.24,0.4,0.4,0.0,2,17
60,44.62,0.48,0.48,0.0,2,13
61,45.0,0.4,0.39,0.0,2,13
62,48.6,0.39,0.38,0.0,2,10
63,50.45,0.48,0.48,0.0,2,11
64,50.0,0.74,0.74,0.0,3,12
65,51.73,0.35,0.35,0.0,2,11
66,51.58,0.39,0.39,0.0,2,12
67,51.62,0.73,0.73,0.0,2,13
68,51.14,0.49,0.49,0.0,2,14
69,52.33,0.59,0.59,0.0,2,15
70,51.79,0.58,0.57,0.0,3,14
71,51.73,0.36,0.36,0.0,2,15
72,51.38,0.49,0.49,0.0,2,16
73,51.06,0.42,0.42,0.0,2,17
74,52.6,0.61,0.6,0.0,2,15
75,53.88,0.32,0.32,0.0,2,16
76,54.06,0.43,0.43,0.0,2,16
77,56.07,0.62,0.62,0.0,2,14
78,56.57,0.53,0.53,0.0,2,14
79,56.4,0.61,0.61,0.0,2,15
80,57.0,0.71,0.71,0.0,2,14
81,57.75,0.48,0.48,0.0,2,12
82,57.77,0.56,0.55,0.0,2,13
83,59.36,0.7,0.7,0.0,2,14
84,59.07,0.78,0.78,0.0,3,15
85,58.56,0.47,0.47,0.0,2,16
86,58.69,0.22,0.21,0.0,2,16
87,58.8,0.45,0.45,0.0,2,15
88,60.19,0.32,0.31,0.0,2,16
89,60.88,0.54,0.54,0.0,2,17
90,61.06,0.38,0.38,0.0,2,17
91,60.67,0.43,0.42,0.0,2,18
92,61.88,0.33,0.32,0.0,2,17
93,62.78,0.51,0.51,0.0,2,18
94,62.47,0.38,0.38,0.0,2,19
95,62.15,0.67,0.67,0.0,2,20
96,62.25,0.65,0.65,0.0,2,20
97,64.76,0.55,0.55,0.0,2,17
98,65.56,0.61,0.61,0.0,2,18
99,65.0,0.31,0.31,0.0,2,19
100,65.11,0.21,0.2,0.0,2,19
101,68.35,0.69,0.68,0.0,2,17
102,67.89,0.57,0.57,0.0,2,18
103,68.11,0.42,0.42,0.0,2,19
104,67.47,0.56,0.55,0.0,2,17
105,67.83,0.51,0.51,0.0,2,18
106,68.42,0.52,0.52,0.0,2,19
107,68.9,0.37,0.36,0.0,2,20
108,69.43,0.35,0.35,0.0,2,21
109,71.5,0.49,0.49,0.0,2,22
110,75.37,0.68,0.67,0.0,2,19
111,74.3,0.63,0.62,0.0,2,20
112,76.39,0.32,0.31,0.0,2,18
113,76.21,0.52,0.52,0.0,2,19
114,76.32,0.5,0.49,0.0,2,19
115,76.25,0.36,0.36,0.0,2,20
116,76.75,0.59,0.59,0.0,2,16
117,77.2,0.49,0.48,0.0,2,15
118,77.0,0.71,0.7,0.0,2,16
119,76.82,0.47,0.47,0.0,2,17
120,76.94,0.55,0.55,0.0,2,17
121,75.83,0.25,0.24,0.0,1,18
122,76.05,0.37,0.37,0.0,2,19
123,76.16,0.57,0.56,0.0,2,19
124,78.2,0.56,0.55,0.0,2,20
125,78.0,0.8,0.8,0.0,2,21
126,78.0,0.66,0.65,0.0,2,21
127,83.11,0.84,0.84,0.0,2,18
128,83.32,0.61,0.6,0.0,2,19
129,81.94,0.44,0.44,0.0,2,18
130,82.5,0.53,0.53,0.0,2,18
131,81.21,0.44,0.44,0.0,2,19
132,80.85,0.4,0.39,0.0,2,20
133,83.76,0.72,0.71,0.0,2,21
134,85.64,0.7,0.7,0.0,2,22
135,89.05,0.58,0.58,0.0,2,20
136,91.83,0.77,0.76,0.0,2,18
137,90.05,0.55,0.54,0.0,2,19
138,88.75,0.54,0.54,0.0,2,20
139,89.1,0.59,0.59,0.0,2,20
140,91.71,0.67,0.67,0.0,2,17
141,92.41,0.74,0.73,0.0,2,17
142,95.72,0.44,0.44,0.0,2,18
143,98.71,0.77,0.77,0.0,2,17
144,103.06,0.6,0.59,0.0,2,18
145,101.74,0.98,0.98,0.0,2,19
146,101.84,0.55,0.55,0.0,2,19
147,102.32,0.84,0.84,0.0,2,19
148,101.65,0.5,0.49,0.0,2,20
149,101.14,0.46,0.46,0.0,2,21
150,100.68,0.47,0.46,0.0,2,22
151,100.73,0.43,0.42,0.0,2,22
152,103.0,0.83,0.82,0.0,2,23
