,average_num_tabu_constraints,elapsed_time_in_seconds,elapsed_time_in_seconds_for_search_problem,elapsed_time_in_seconds_for_slice_problem,num_milp_solved,num_search_problems
0,0.0,0.21,0.09,0.12,2,24
1,0.0,4.49,4.35,0.12,25,47
2,0.0,3.51,3.35,0.14,25,74
3,0.03,3.06,2.98,0.06,29,63
4,0.0,1.88,1.8,0.07,14,76
5,0.0,2.16,2.01,0.13,15,103
6,0.03,3.91,3.89,0.01,28,74
7,0.05,0.66,0.55,0.09,4,84
8,0.05,4.34,4.2,0.12,21,107
9,0.04,2.53,2.46,0.06,25,119
10,0.07,1.66,1.62,0.02,14,101
11,0.07,0.73,0.62,0.09,5,99
12,0.05,3.95,3.83,0.1,20,119
13,0.02,2.21,2.08,0.11,22,142
14,0.03,2.13,2.07,0.04,25,131
15,0.02,0.82,0.73,0.07,9,132
16,0.01,2.29,2.18,0.08,16,149
17,0.01,1.82,1.79,0.01,18,151
18,0.06,1.16,1.08,0.06,4,126
19,0.06,1.41,1.37,0.03,15,130
20,0.03,0.69,0.63,0.05,7,138
21,0.02,1.03,0.91,0.1,10,158
22,0.06,3.79,3.75,0.02,22,128
23,0.05,1.2,1.1,0.08,6,135
24,0.11,2.53,2.49,0.02,18,91
25,0.1,1.0,0.9,0.08,7,108
26,0.17,3.66,3.63,0.02,20,89
27,0.11,0.82,0.7,0.1,6,105
28,0.1,2.73,2.58,0.13,23,129
29,0.1,3.63,3.5,0.11,26,128
30,0.07,3.63,3.5,0.11,25,149
31,0.04,2.69,2.59,0.08,23,166
32,0.04,2.22,2.1,0.1,19,165
33,0.06,3.5,3.45,0.03,22,151
34,0.05,1.73,1.62,0.08,8,168
35,0.02,3.9,3.85,0.03,19,174
36,0.02,1.95,1.92,0.02,9,176
37,0.01,0.7,0.66,0.02,4,180
38,0.02,0.73,0.6,0.11,6,186
39,0.05,3.43,3.39,0.02,25,151
40,0.06,0.98,0.86,0.1,7,161
41,0.08,2.23,2.11,0.09,23,149
42,0.09,3.06,2.99,0.05,24,157
43,0.09,1.64,1.59,0.03,12,158
44,0.08,0.61,0.58,0.02,6,160
45,0.06,0.53,0.41,0.1,4,179
46,0.04,2.75,2.63,0.1,21,195
47,0.05,4.42,4.3,0.09,22,195
48,0.06,3.5,3.39,0.08,22,190
49,0.12,3.33,3.28,0.02,20,156
50,0.11,0.63,0.55,0.06,6,166
