,average_num_tabu_constraints,elapsed_time_in_seconds,elapsed_time_in_seconds_for_search_problem,elapsed_time_in_seconds_for_slice_problem,num_milp_solved,num_search_problems
8503,0.15,0.26,0.15,0.01,1,1115
8504,0.15,0.29,0.18,0.01,1,1115
8505,0.15,0.26,0.15,0.01,1,1115
8506,0.15,0.56,0.45,0.02,2,1116
8507,0.15,0.56,0.44,0.02,3,1117
8508,0.15,0.41,0.3,0.01,2,1117
8509,0.15,0.24,0.13,0.01,1,1118
8510,0.15,0.63,0.51,0.02,3,1120
8511,0.15,0.61,0.5,0.01,4,1120
8512,0.15,0.34,0.23,0.01,2,1120
8513,0.15,0.26,0.15,0.01,1,1120
8514,0.15,0.21,0.1,0.01,1,1120
8515,0.15,0.42,0.31,0.02,2,1121
8516,0.15,0.57,0.46,0.01,3,1121
8517,0.15,0.41,0.29,0.02,2,1115
8518,0.15,0.59,0.45,0.03,3,1118
8519,0.15,1.06,0.94,0.02,6,1119
8520,0.15,0.78,0.66,0.02,4,1121
8521,0.15,0.79,0.67,0.01,4,1121
8522,0.15,0.47,0.34,0.03,2,1125
8523,0.15,1.08,0.96,0.01,6,1126
8524,0.15,0.44,0.33,0.01,2,1126
8525,0.15,0.28,0.17,0.01,1,1127
8526,0.15,0.55,0.43,0.02,3,1128
8527,0.15,0.46,0.34,0.02,3,1128
8528,0.15,0.41,0.3,0.01,3,1127
8529,0.15,0.23,0.11,0.01,1,1127
8530,0.15,0.21,0.1,0.01,1,1127
8531,0.15,0.24,0.12,0.01,1,1126
8532,0.14,0.33,0.2,0.02,2,1127
8533,0.14,0.45,0.32,0.02,3,1129
8534,0.14,0.42,0.3,0.01,3,1129
8535,0.14,0.32,0.2,0.02,2,1130
8536,0.14,0.46,0.34,0.02,3,1131
8537,0.14,0.48,0.37,0.01,3,1131
8538,0.14,0.33,0.2,0.03,2,1134
8539,0.14,0.71,0.59,0.01,5,1135
8540,0.14,0.72,0.61,0.01,5,1136
8541,0.14,0.26,0.15,0.01,2,1135
8542,0.14,0.42,0.3,0.02,3,1137
8543,0.14,0.33,0.22,0.01,3,1137
8544,0.14,0.18,0.06,0.01,1,1137
8545,0.14,0.18,0.07,0.01,1,1136
8546,0.14,0.17,0.06,0.01,1,1136
8547,0.14,0.26,0.14,0.02,2,1137
8548,0.14,0.35,0.23,0.02,3,1137
8549,0.14,0.34,0.22,0.02,3,1135
8550,0.14,0.25,0.14,0.01,2,1129
8551,0.14,0.4,0.28,0.02,2,1128
8552,0.14,0.41,0.3,0.01,2,1128
8553,0.14,0.28,0.17,0.01,1,1127
8554,0.14,0.44,0.32,0.02,2,1128
8555,0.14,0.64,0.52,0.02,3,1129
8556,0.14,0.45,0.34,0.01,2,1129
8557,0.14,0.45,0.33,0.02,2,1130
8558,0.13,0.93,0.8,0.03,3,1133
8559,0.13,1.9,1.78,0.02,6,1135
8560,0.13,0.6,0.48,0.01,3,1135
8561,0.13,0.76,0.64,0.02,3,1135
8562,0.13,0.43,0.31,0.01,2,1133
8563,0.13,0.74,0.61,0.02,2,1133
8564,0.13,1.26,1.13,0.02,5,1133
8565,0.13,0.43,0.32,0.01,2,1133
8566,0.13,0.28,0.16,0.01,1,1133
8567,0.13,0.66,0.53,0.03,2,1136
8568,0.13,1.1,0.98,0.01,4,1134
8569,0.13,0.45,0.32,0.02,2,1135
8570,0.13,0.63,0.51,0.02,3,1136
8571,0.13,0.62,0.5,0.02,3,1137
8572,0.13,0.58,0.46,0.01,2,1137
8573,0.13,0.45,0.33,0.02,2,1134
8574,0.13,0.44,0.32,0.01,2,1134
8575,0.13,0.28,0.16,0.01,1,1134
8576,0.13,0.43,0.32,0.01,1,1134
8577,0.13,0.28,0.16,0.01,1,1134
8578,0.13,0.41,0.29,0.01,2,1134
8579,0.13,0.47,0.33,0.03,2,1138
8580,0.13,1.08,0.97,0.01,6,1138
8581,0.13,0.46,0.35,0.01,2,1138
8582,0.13,0.44,0.33,0.01,2,1139
8583,0.15,0.43,0.32,0.01,2,1101
8584,0.15,3.83,3.72,0.01,31,1101
8585,0.15,0.32,0.2,0.02,2,1101
8586,0.15,0.49,0.37,0.02,3,1101
8587,0.15,0.41,0.3,0.01,3,1101
8588,0.15,0.21,0.1,0.01,1,1101
8589,0.15,0.42,0.3,0.02,2,1101
8590,0.15,0.31,0.2,0.01,2,1099
8591,0.15,0.22,0.11,0.01,1,1097
8592,0.15,0.53,0.4,0.03,2,1097
8593,0.15,0.9,0.78,0.02,6,1096
8594,0.15,0.48,0.37,0.01,2,1096
8595,0.15,0.22,0.12,0.01,1,1096
8596,0.15,0.47,0.36,0.02,2,1097
8597,0.15,0.57,0.46,0.02,3,1097
8598,0.15,0.77,0.65,0.02,4,1099
8599,0.15,0.63,0.52,0.01,3,1097
8600,0.15,0.23,0.13,0.01,1,1097
8601,0.15,0.24,0.13,0.01,1,1097
8602,0.15,0.39,0.27,0.02,2,1097
8603,0.15,0.37,0.26,0.01,2,1094
8604,0.15,0.59,0.48,0.02,3,1093
8605,0.15,1.08,0.95,0.03,5,1096
8606,0.15,1.6,1.48,0.02,9,1097
8607,0.15,1.55,1.44,0.01,6,1097
8608,0.15,0.76,0.65,0.01,4,1097
8609,0.15,1.6,1.49,0.01,7,1097
8610,0.15,0.85,0.73,0.02,5,1098
8611,0.15,0.57,0.46,0.01,4,1099
8612,0.15,1.6,1.5,0.01,7,1100
8613,0.15,1.28,1.17,0.01,5,1101
8614,0.15,0.56,0.45,0.01,2,1101
8615,0.15,0.34,0.23,0.01,1,1101
8616,0.15,0.32,0.21,0.01,1,1101
8617,0.15,0.32,0.21,0.01,1,1100
8618,0.15,0.32,0.21,0.01,1,1099
8619,0.15,0.31,0.21,0.01,1,1099
8620,0.15,0.51,0.38,0.03,2,1103
8621,0.15,0.95,0.84,0.01,5,1101
8622,0.15,0.49,0.36,0.03,2,1102
8623,0.15,0.96,0.84,0.02,5,1102
8624,0.15,0.44,0.33,0.01,2,1102
8625,0.15,0.45,0.33,0.02,2,1102
8626,0.15,0.44,0.33,0.01,2,1102
8627,0.15,0.28,0.17,0.01,1,1102
8628,0.15,0.46,0.35,0.02,2,1101
8629,0.15,0.59,0.48,0.01,3,1101
8630,0.15,0.28,0.17,0.01,1,1101
8631,0.15,0.27,0.16,0.01,1,1101
8632,0.15,0.44,0.33,0.02,2,1101
8633,0.15,0.81,0.69,0.03,4,1104
8634,0.15,0.76,0.65,0.01,4,1104
8635,0.16,0.45,0.33,0.02,2,1094
8636,0.16,1.32,1.21,0.02,8,1095
8637,0.16,0.53,0.41,0.02,3,1096
8638,0.16,0.65,0.53,0.02,4,1093
8639,0.16,0.66,0.55,0.02,4,1093
8640,0.16,0.38,0.27,0.01,2,1093
8641,0.16,0.23,0.13,0.01,1,1093
8642,0.16,0.38,0.27,0.02,2,1093
8643,0.16,0.36,0.25,0.01,2,1093
8644,0.16,0.25,0.15,0.01,1,1093
8645,0.16,0.25,0.14,0.01,1,1093
8646,0.16,0.24,0.13,0.01,1,1092
8647,0.16,0.23,0.12,0.01,1,1091
8648,0.16,0.27,0.16,0.01,1,1091
8649,0.16,0.39,0.27,0.02,2,1091
8650,0.16,0.59,0.48,0.01,3,1091
8651,0.16,0.23,0.12,0.01,1,1091
8652,0.16,0.26,0.15,0.01,1,1091
8653,0.16,0.35,0.24,0.01,2,1091
8654,0.16,0.22,0.11,0.01,1,1091
8655,0.16,0.23,0.12,0.01,1,1091
8656,0.16,0.2,0.09,0.01,1,1091
8657,0.16,0.2,0.1,0.01,1,1091
8658,0.16,0.21,0.11,0.01,1,1091
8659,0.16,0.36,0.24,0.02,2,1092
8660,0.16,0.58,0.46,0.02,4,1090
8661,0.16,0.41,0.3,0.02,3,1090
8662,0.16,0.54,0.42,0.02,4,1091
8663,0.16,0.54,0.43,0.01,4,1090
8664,0.16,0.21,0.11,0.01,1,1090
8665,0.16,0.33,0.2,0.03,2,1093
8666,0.16,0.85,0.73,0.02,7,1094
8667,0.16,0.66,0.55,0.01,5,1095
8668,0.16,0.38,0.27,0.01,2,1095
8669,0.16,0.36,0.24,0.02,2,1096
8670,0.16,0.52,0.41,0.02,3,1097
8671,0.16,0.39,0.28,0.01,2,1097
8672,0.16,0.25,0.15,0.01,1,1097
8673,0.16,0.39,0.27,0.02,2,1099
8674,0.16,0.66,0.52,0.04,4,1102
8675,0.16,0.88,0.77,0.01,6,1102
8676,0.15,0.41,0.29,0.02,2,1102
8677,0.15,0.59,0.47,0.02,4,1103
8678,0.15,0.66,0.54,0.03,4,1106
8679,0.15,0.77,0.66,0.01,5,1106
8680,0.15,0.36,0.25,0.02,2,1107
8681,0.15,0.61,0.48,0.03,4,1112
8682,0.15,0.81,0.7,0.01,6,1113
8683,0.15,0.44,0.33,0.01,2,1113
8684,0.15,0.66,0.55,0.01,2,1113
8685,0.15,0.22,0.11,0.01,1,1112
8686,0.15,0.35,0.24,0.01,1,1111
8687,0.15,0.46,0.35,0.01,1,1111
8688,0.15,0.29,0.19,0.01,1,1111
8689,0.15,0.44,0.32,0.02,2,1106
8690,0.15,0.99,0.87,0.02,3,1105
8691,0.15,0.43,0.32,0.01,2,1105
8692,0.15,0.65,0.53,0.02,2,1106
8693,0.15,0.56,0.45,0.01,3,1105
8694,0.15,0.28,0.17,0.01,1,1105
8695,0.15,0.64,0.53,0.01,2,1105
8696,0.15,0.53,0.41,0.02,2,1106
8697,0.15,0.54,0.43,0.01,2,1105
8698,0.15,0.24,0.13,0.01,1,1105
8699,0.15,0.29,0.18,0.01,1,1105
8700,0.15,0.7,0.58,0.02,2,1105
8701,0.15,0.5,0.39,0.01,2,1105
8702,0.15,0.26,0.15,0.01,1,1105
8703,0.15,0.62,0.51,0.02,2,1106
8704,0.15,0.94,0.83,0.01,3,1106
8705,0.15,0.25,0.14,0.01,1,1106
8706,0.15,0.47,0.35,0.02,2,1108
8707,0.15,0.57,0.46,0.01,3,1109
8708,0.15,0.69,0.58,0.01,2,1110
8709,0.15,0.42,0.31,0.01,2,1110
8710,0.15,0.26,0.15,0.01,1,1110
8711,0.15,0.24,0.13,0.01,1,1110
8712,0.15,0.36,0.24,0.02,2,1112
8713,0.15,0.56,0.45,0.01,3,1112
8714,0.15,0.23,0.12,0.01,1,1111
8715,0.15,0.35,0.23,0.02,2,1107
8716,0.15,0.38,0.27,0.01,2,1107
8717,0.15,0.38,0.26,0.02,2,1108
8718,0.15,0.99,0.88,0.01,7,1108
8719,0.15,0.39,0.28,0.01,2,1108
8720,0.15,0.56,0.44,0.02,3,1108
8721,0.15,0.86,0.75,0.02,5,1109
8722,0.15,0.62,0.51,0.01,4,1109
8723,0.15,0.59,0.48,0.02,4,1109
8724,0.15,0.77,0.64,0.03,6,1113
8725,0.15,1.56,1.44,0.02,12,1113
8726,0.15,0.88,0.76,0.02,4,1112
8727,0.15,0.72,0.61,0.01,3,1111
8728,0.15,0.32,0.21,0.01,1,1110
8729,0.15,0.53,0.41,0.02,2,1111
8730,0.15,0.53,0.42,0.01,2,1111
8731,0.15,0.32,0.21,0.01,1,1111
8732,0.15,0.29,0.18,0.01,1,1111
8733,0.15,0.3,0.19,0.01,1,1111
8734,0.15,0.32,0.2,0.01,1,1112
8735,0.14,0.9,0.77,0.02,3,1115
8736,0.14,4.05,3.94,0.01,14,1115
8737,0.14,0.32,0.21,0.01,1,1115
8738,0.14,0.74,0.62,0.02,2,1116
8739,0.14,1.45,1.33,0.02,3,1117
8740,0.14,0.93,0.82,0.01,2,1117
8741,0.14,0.68,0.56,0.02,2,1116
8742,0.14,0.98,0.87,0.01,2,1114
8743,0.14,0.52,0.41,0.02,2,1113
8744,0.14,0.64,0.53,0.01,2,1113
8745,0.14,0.32,0.21,0.01,1,1113
8746,0.14,0.34,0.23,0.01,1,1113
8747,0.14,0.33,0.22,0.01,1,1113
8748,0.14,0.32,0.21,0.01,1,1112
8749,0.14,0.51,0.38,0.03,2,1115
8750,0.14,0.84,0.73,0.01,4,1115
8751,0.14,0.29,0.18,0.01,1,1115
8752,0.14,0.25,0.14,0.01,1,1114
8753,0.14,0.31,0.2,0.01,1,1114
8754,0.14,0.41,0.29,0.02,2,1115
8755,0.14,0.62,0.51,0.01,3,1115
8756,0.14,0.53,0.4,0.02,2,1117
8757,0.14,0.88,0.77,0.01,4,1117
8758,0.14,0.34,0.23,0.01,2,1117
8759,0.14,0.25,0.14,0.01,1,1116
8760,0.14,0.58,0.46,0.02,2,1118
8761,0.14,1.12,1.01,0.02,4,1119
8762,0.14,0.72,0.61,0.01,2,1119
8763,0.14,0.59,0.45,0.03,2,1123
8764,0.14,1.74,1.62,0.02,7,1125
8765,0.14,0.55,0.44,0.01,3,1120
8766,0.14,2.12,2.01,0.01,5,1120
8767,0.14,0.47,0.36,0.01,1,1120
8768,0.14,0.62,0.5,0.02,2,1121
8769,0.14,1.65,1.53,0.02,3,1123
8770,0.14,1.4,1.29,0.01,3,1123
8771,0.14,1.2,1.08,0.02,2,1124
8772,0.14,0.9,0.79,0.01,2,1124
8773,0.14,0.53,0.42,0.01,1,1124
8774,0.14,0.67,0.56,0.01,1,1124
8775,0.14,0.49,0.37,0.01,1,1124
8776,0.14,0.46,0.35,0.01,1,1124
8777,0.14,0.27,0.16,0.01,1,1124
8778,0.14,0.27,0.15,0.01,1,1124
8779,0.14,0.29,0.18,0.01,1,1124
8780,0.14,0.29,0.18,0.01,1,1125
8781,0.13,0.58,0.45,0.03,3,1128
8782,0.13,0.92,0.8,0.02,8,1129
8783,0.13,0.61,0.49,0.01,4,1130
8784,0.13,0.31,0.19,0.01,2,1131
8785,0.13,0.44,0.33,0.01,2,1131
8786,0.13,0.47,0.35,0.02,2,1132
8787,0.13,0.89,0.78,0.02,3,1133
8788,0.13,0.44,0.32,0.01,2,1133
8789,0.13,0.46,0.34,0.02,2,1134
8790,0.13,0.48,0.36,0.01,2,1134
8791,0.13,0.47,0.35,0.02,2,1135
8792,0.13,0.45,0.33,0.01,2,1135
8793,0.13,0.27,0.16,0.01,1,1135
8794,0.13,0.28,0.17,0.01,1,1135
8795,0.13,0.28,0.16,0.01,1,1133
8796,0.13,0.27,0.15,0.01,1,1133
8797,0.13,0.26,0.14,0.01,1,1133
8798,0.13,0.26,0.15,0.01,1,1132
8799,0.13,0.42,0.29,0.02,2,1132
8800,0.13,0.54,0.43,0.01,3,1131
8801,0.13,0.27,0.16,0.01,1,1130
8802,0.13,0.24,0.13,0.01,1,1129
8803,0.13,0.26,0.15,0.01,1,1129
8804,0.13,0.39,0.26,0.03,2,1131
8805,0.13,0.69,0.58,0.01,4,1131
8806,0.13,0.39,0.27,0.02,2,1132
8807,0.13,0.53,0.41,0.02,3,1133
8808,0.13,0.4,0.28,0.01,2,1133
8809,0.13,0.36,0.24,0.01,2,1133
8810,0.13,0.26,0.15,0.01,1,1134
8811,0.13,0.49,0.37,0.02,3,1133
8812,0.13,0.31,0.19,0.01,2,1133
8813,0.13,0.21,0.1,0.01,1,1133
8814,0.13,0.32,0.19,0.02,2,1128
8815,0.13,0.57,0.43,0.03,4,1129
8816,0.13,0.76,0.65,0.01,5,1128
8817,0.13,0.38,0.26,0.02,2,1129
8818,0.13,0.39,0.28,0.01,2,1129
8819,0.13,0.26,0.15,0.01,1,1129
8820,0.13,0.27,0.16,0.01,1,1129
8821,0.13,0.24,0.13,0.01,1,1128
8822,0.13,0.23,0.12,0.01,1,1128
8823,0.13,0.25,0.13,0.01,1,1128
8824,0.13,0.27,0.16,0.01,1,1128
8825,0.13,0.29,0.18,0.01,1,1127
8826,0.13,0.26,0.15,0.01,1,1127
8827,0.13,0.34,0.22,0.02,2,1126
8828,0.13,0.44,0.32,0.02,3,1125
8829,0.13,0.33,0.22,0.01,2,1125
8830,0.13,0.4,0.27,0.02,2,1126
8831,0.13,0.78,0.67,0.01,4,1126
8832,0.13,0.44,0.32,0.02,2,1127
8833,0.13,1.3,1.17,0.03,7,1129
8834,0.13,0.86,0.75,0.01,5,1130
8835,0.13,0.55,0.44,0.01,3,1131
8836,0.13,0.55,0.43,0.01,3,1132
8837,0.13,0.78,0.66,0.01,4,1133
8838,0.13,0.75,0.63,0.01,2,1131
8839,0.14,0.82,0.69,0.02,3,1128
8840,0.14,0.87,0.76,0.01,3,1128
8841,0.14,0.55,0.43,0.01,1,1128
8842,0.14,0.26,0.15,0.01,1,1128
8843,0.13,0.25,0.14,0.01,1,1128
8844,0.13,0.26,0.15,0.01,1,1128
8845,0.13,0.68,0.55,0.03,2,1131
8846,0.13,0.84,0.72,0.01,4,1131
8847,0.13,0.53,0.41,0.02,2,1132
8848,0.13,0.78,0.65,0.02,3,1133
8849,0.13,0.95,0.83,0.01,3,1133
8850,0.13,0.42,0.31,0.01,1,1133
8851,0.13,0.69,0.57,0.02,2,1133
8852,0.13,0.74,0.62,0.01,2,1133
8853,0.13,0.73,0.61,0.02,2,1133
8854,0.13,0.63,0.52,0.01,3,1133
8855,0.13,0.31,0.2,0.01,1,1133
8856,0.13,0.28,0.16,0.01,1,1133
8857,0.13,0.46,0.34,0.02,2,1134
8858,0.13,0.45,0.34,0.01,2,1134
8859,0.13,0.44,0.33,0.01,2,1134
8860,0.13,0.27,0.16,0.01,1,1134
8861,0.13,0.29,0.18,0.01,1,1134
8862,0.13,0.28,0.17,0.01,1,1134
8863,0.13,0.43,0.31,0.02,2,1135
8864,0.13,0.8,0.67,0.02,4,1137
8865,0.13,0.91,0.79,0.02,5,1139
8866,0.13,0.56,0.45,0.01,3,1139
8867,0.13,0.36,0.25,0.01,2,1140
8868,0.14,0.86,0.74,0.02,3,1127
8869,0.14,0.76,0.64,0.01,5,1126
8870,0.14,0.24,0.13,0.01,1,1126
8871,0.14,0.39,0.26,0.02,2,1122
8872,0.14,0.67,0.55,0.02,4,1122
8873,0.14,0.4,0.28,0.01,2,1122
8874,0.14,0.43,0.31,0.02,2,1123
8875,0.14,0.41,0.3,0.01,2,1122
8876,0.14,0.44,0.32,0.02,2,1123
8877,0.14,0.41,0.3,0.01,2,1123
8878,0.14,0.28,0.17,0.01,1,1123
8879,0.14,0.27,0.16,0.01,1,1123
8880,0.14,0.27,0.16,0.01,1,1123
8881,0.14,0.21,0.1,0.01,1,1121
8882,0.14,0.2,0.08,0.01,1,1121
