,average_num_tabu_constraints,elapsed_time_in_seconds,elapsed_time_in_seconds_for_search_problem,elapsed_time_in_seconds_for_slice_problem,num_milp_solved,num_search_problems
0,0.0,0.1,0.04,0.05,2,1
1,0.0,0.11,0.02,0.08,2,1
2,0.0,0.15,0.08,0.07,2,14
3,0.07,0.29,0.27,0.01,13,14
4,0.0,0.12,0.09,0.02,3,11
5,0.11,0.03,0.01,0.01,1,9
6,0.0,0.08,0.05,0.02,2,8
7,0.17,0.02,0.01,0.01,1,6
8,0.5,0.08,0.07,0.01,2,2
9,0.0,0.13,0.09,0.04,3,1
10,0.0,0.12,0.09,0.03,2,1
11,0.0,0.15,0.07,0.08,2,15
12,0.07,0.2,0.19,0.01,14,15
13,0.0,0.12,0.08,0.02,3,12
14,0.1,0.02,0.01,0.01,1,10
15,0.0,0.06,0.02,0.02,2,9
16,0.17,0.02,0.01,0.01,1,6
17,1.0,0.06,0.04,0.02,3,1
18,0.0,0.06,0.03,0.02,2,1
19,0.0,0.16,0.1,0.06,2,1
20,0.0,0.15,0.08,0.07,2,1
21,0.0,0.11,0.08,0.03,2,3
22,0.33,0.13,0.12,0.01,3,3
23,0.0,0.15,0.11,0.03,4,1
24,0.0,0.1,0.06,0.04,2,1
25,0.0,0.1,0.05,0.05,2,1
26,0.0,0.05,0.03,0.02,2,1
27,0.0,0.05,0.03,0.02,2,1
