,average_num_tabu_constraints,elapsed_time_in_seconds,elapsed_time_in_seconds_for_search_problem,elapsed_time_in_seconds_for_slice_problem,num_milp_solved,num_search_problems
0,0.0,0.07,0.02,0.04,2,2
1,0.0,0.09,0.03,0.04,2,2
2,0.0,0.09,0.04,0.04,2,8
3,0.0,0.13,0.12,0.01,9,6
4,0.0,0.02,0.01,0.01,1,6
5,0.0,0.05,0.03,0.01,3,4
6,0.0,0.03,0.02,0.01,1,4
7,0.5,0.05,0.03,0.02,2,2
8,0.0,0.06,0.04,0.02,3,1
9,0.0,0.09,0.08,0.01,2,1
10,0.0,0.14,0.09,0.05,2,5
11,0.33,0.1,0.08,0.01,4,3
12,0.0,0.13,0.09,0.04,3,2
13,0.0,0.05,0.04,0.01,2,3
14,0.0,0.15,0.12,0.02,4,1
15,0.0,0.08,0.06,0.02,2,1
16,0.0,0.16,0.14,0.02,2,5
17,0.0,0.26,0.24,0.01,6,4
18,0.0,0.08,0.07,0.01,2,3
19,0.5,0.05,0.04,0.01,1,2
20,0.0,0.15,0.14,0.01,3,1
21,0.0,0.12,0.09,0.03,2,4
22,1.0,0.06,0.04,0.02,4,1
23,0.0,0.1,0.06,0.04,2,1
24,0.0,0.09,0.06,0.03,2,1
25,0.0,0.07,0.06,0.02,2,1
26,0.0,0.06,0.05,0.01,2,1
27,0.0,0.07,0.05,0.01,2,1
28,0.0,0.08,0.06,0.02,2,1
29,0.0,0.03,0.02,0.01,2,1
