,average_num_tabu_constraints,elapsed_time_in_seconds,elapsed_time_in_seconds_for_search_problem,elapsed_time_in_seconds_for_slice_problem,num_milp_solved,num_search_problems
0,1.0,0.01,0.01,0.0,1,2
1,2.5,0.04,0.04,0.0,2,2
2,3.5,0.01,0.01,0.0,2,2
3,4.5,0.03,0.03,0.0,2,2
4,5.33,0.08,0.07,0.0,2,3
5,6.0,0.04,0.04,0.0,2,3
6,6.67,0.03,0.03,0.0,2,3
7,7.67,0.04,0.04,0.0,2,3
8,7.0,0.02,0.02,0.0,1,3
9,9.67,0.07,0.07,0.0,2,3
10,10.33,0.02,0.02,0.0,2,3
11,10.67,0.06,0.05,0.0,2,3
12,11.5,0.02,0.02,0.0,1,4
13,12.0,0.03,0.03,0.0,2,4
14,11.67,0.05,0.05,0.0,2,3
15,15.33,0.03,0.03,0.0,1,3
16,16.0,0.06,0.06,0.0,2,3
17,16.0,0.03,0.03,0.0,2,3
18,15.67,0.02,0.02,0.0,1,3
19,17.0,0.02,0.02,0.0,2,2
