,z_0,z_1,z_2,connected
0,1916.0,-142.48935748314216,-49.07249100786089,1.0
1,1916.0,-142.51617612838118,-48.09333102345113,1.0
2,1916.0,-142.73969728511656,-41.288074673486335,1.0
3,1916.0,-142.85684653317867,-38.10715334446945,1.0
4,1916.0,-142.90495329133614,-37.04419877400528,1.0
5,1916.0,-142.9163415875396,-36.880382267298046,1.0
6,1916.0,-143.0451898127742,-35.788224149783446,1.0
7,1916.0,-143.24376292341822,-34.79484342261321,1.0
8,1916.0,-143.4417427933322,-33.95401530178742,1.0
9,1916.0,-144.46079074322392,-31.321169455431345,1.0
10,1916.0,-145.4220899177917,-29.10724950453482,1.0
11,1916.0,-150.71510797431688,-17.25135761522415,1.0
12,1916.0,-150.81930726579935,-17.024483823646506,1.0
13,1916.0,-151.0124046729445,-16.651689388006844,1.0
14,1916.0,-151.33781595666892,-16.045831384815074,1.0
15,1916.0,-152.2615295039675,-14.686415005499612,1.0
16,1916.0,-162.50988420101976,-1.6170162269729644,1.0
17,1916.0,-164.10752546794356,0.2762130634728237,1.0
18,1916.0,-164.5136396559567,0.7330318237127358,1.0
19,1916.0,-164.7307500892207,0.9376283107390009,1.0
20,1916.0,-165.60683643861125,1.6722949291220175,1.0
21,1916.0,-165.7133151389205,1.7537598168819386,1.0
22,1916.0,-167.72054965517782,3.038867037801083,1.0
23,1916.0,-168.80487811006265,3.7097939869724996,1.0
24,1916.0,-169.618079290364,4.012347033986316,1.0
25,1916.0,-170.29810937035109,4.246738358831408,1.0
26,1916.0,-170.79768265090138,4.398031426277612,1.0
27,1916.0,-172.1643304200336,4.558027693867416,1.0
28,1916.0,-172.55292676906356,4.594590842387333,1.0
29,1916.0,-181.76387383908173,4.8616485883221685,1.0
30,1916.0,-182.3915928513436,4.877046133580507,1.0
31,1916.0,-183.72627267050007,4.902062915915849,1.0
32,1916.0,-184.4518150025151,4.911949859378183,0.0
33,1865.0,34.51064251685784,115.92750899213934,1.0
34,1865.0,34.483823871618824,116.9066689765491,1.0
35,1865.0,34.26030271488344,123.71192532651389,1.0
36,1865.0,34.13385484778951,127.09830655300789,0.0
37,1794.0,274.4265513995415,-36.92284079224646,1.0
38,1794.0,274.18524106436644,-34.261269732087385,1.0
39,1794.0,273.74217611904623,-30.89042802104177,1.0
40,1794.0,273.6766120454672,-30.467249569476962,1.0
41,1794.0,273.542610081151,-29.7869885885018,1.0
42,1794.0,272.9565903876496,-27.56327666538823,1.0
43,1794.0,272.64176251921026,-26.42422994537924,1.0
44,1794.0,272.217425229358,-24.919892191880763,1.0
45,1794.0,269.56244670230717,-16.217608475318684,1.0
46,1794.0,269.07672269218165,-14.661557524415912,1.0
47,1794.0,268.4882684726849,-12.901382477017933,1.0
48,1794.0,268.35207540019564,-12.537217599109226,1.0
49,1794.0,268.0264936024637,-11.812234641879286,1.0
50,1794.0,267.72428908906704,-11.162573508500827,1.0
51,1794.0,266.9037230897202,-9.511646247042108,1.0
52,1794.0,266.04937141781875,-7.893553112332938,1.0
53,1794.0,265.53307656489505,-6.939818577038523,1.0
54,1794.0,265.4389199468128,-6.776728101208619,1.0
55,1794.0,264.1410208703619,-4.715332192159394,1.0
56,1794.0,261.08613212575665,-0.28415348714452193,1.0
