,average_num_tabu_constraints,elapsed_time_in_seconds,elapsed_time_in_seconds_for_search_problem,elapsed_time_in_seconds_for_slice_problem,num_milp_solved,num_search_problems
175,0.25,0.74,0.71,0.02,9,103
176,0.22,0.13,0.09,0.03,2,111
177,0.21,0.33,0.31,0.01,13,112
178,0.2,0.41,0.37,0.03,5,118
179,0.26,0.53,0.5,0.01,10,106
180,0.27,0.24,0.22,0.01,4,103
181,0.26,0.23,0.2,0.02,2,99
182,0.28,0.19,0.17,0.01,2,97
183,0.26,0.21,0.17,0.03,6,96
184,0.32,0.18,0.15,0.02,2,87
185,0.32,0.19,0.17,0.01,4,87
186,0.35,0.21,0.2,0.01,2,86
187,0.35,0.22,0.18,0.02,4,82
188,0.4,0.21,0.18,0.02,3,75
189,0.42,0.53,0.52,0.01,10,72
190,0.4,0.13,0.11,0.01,3,70
191,0.37,0.13,0.11,0.02,5,70
192,0.28,0.29,0.26,0.03,9,65
193,0.27,0.27,0.25,0.02,4,71
194,0.26,0.34,0.3,0.03,8,72
195,0.26,0.05,0.04,0.01,2,73
196,0.2,0.36,0.33,0.02,4,76
197,0.21,0.48,0.47,0.01,8,76
198,0.22,0.13,0.1,0.02,4,74
199,0.33,0.07,0.06,0.01,3,60
200,0.32,0.11,0.08,0.02,4,60
201,0.19,0.1,0.07,0.02,3,58
202,0.18,0.07,0.05,0.02,4,56
203,0.2,0.06,0.04,0.01,4,51
204,0.2,0.13,0.1,0.02,4,50
205,0.27,0.02,0.01,0.01,1,45
206,0.28,0.07,0.05,0.02,4,40
207,0.26,0.07,0.05,0.02,2,39
208,0.3,0.1,0.06,0.03,2,33
209,0.33,0.05,0.04,0.01,3,30
210,0.32,0.08,0.04,0.03,4,28
211,0.32,0.06,0.03,0.03,2,28
212,0.38,0.15,0.14,0.01,3,26
213,0.36,0.36,0.35,0.01,5,25
214,0.33,0.12,0.11,0.01,1,27
215,0.3,0.25,0.24,0.0,3,27
216,0.28,0.06,0.03,0.02,3,25
217,0.24,0.06,0.02,0.03,2,25
218,0.22,0.05,0.03,0.02,3,23
219,0.15,0.07,0.05,0.02,4,20
220,0.33,0.04,0.03,0.01,2,12
221,0.27,0.08,0.05,0.03,4,11
222,0.27,0.05,0.03,0.02,2,11
223,0.33,0.05,0.04,0.01,3,9
224,0.25,0.04,0.02,0.02,2,8
225,0.33,0.05,0.02,0.03,2,3
226,0.0,0.06,0.05,0.01,4,1
