,average_num_tabu_constraints,elapsed_time_in_seconds,elapsed_time_in_seconds_for_search_problem,elapsed_time_in_seconds_for_slice_problem,num_milp_solved,num_search_problems
0,0.0,0.06,0.02,0.04,2,11
1,0.0,0.43,0.39,0.03,12,20
2,0.05,0.41,0.38,0.03,11,21
3,1.33,0.22,0.21,0.01,11,3
4,0.25,0.15,0.11,0.03,3,12
5,0.0,0.39,0.35,0.03,11,22
6,0.0,0.58,0.55,0.03,12,32
7,0.0,1.15,1.12,0.03,12,42
8,0.0,0.73,0.7,0.02,12,50
9,0.02,0.75,0.72,0.03,10,56
10,0.02,0.33,0.32,0.01,11,57
11,0.05,0.07,0.05,0.02,3,55
12,0.0,0.21,0.19,0.01,6,59
13,0.02,0.12,0.11,0.01,5,51
14,0.0,0.14,0.11,0.03,3,60
15,0.11,0.33,0.32,0.01,10,44
16,0.13,0.3,0.29,0.01,4,45
17,0.09,0.19,0.16,0.03,3,53
18,0.14,0.57,0.56,0.01,9,44
19,0.09,0.13,0.09,0.03,3,53
20,0.08,0.2,0.17,0.02,11,61
21,0.1,0.39,0.36,0.03,10,69
22,0.16,0.48,0.47,0.01,11,61
23,0.13,0.2,0.17,0.03,4,70
24,0.15,0.59,0.57,0.01,11,65
25,0.12,0.32,0.28,0.03,4,73
26,0.12,0.81,0.79,0.01,9,74
27,0.13,0.22,0.2,0.01,3,75
28,0.11,0.35,0.32,0.02,5,81
29,0.13,0.42,0.38,0.03,8,89
30,0.18,0.18,0.17,0.01,11,73
31,0.19,0.23,0.22,0.01,3,73
32,0.17,0.2,0.16,0.03,2,75
33,0.17,0.93,0.89,0.03,11,84
34,0.16,0.33,0.29,0.03,11,85
35,0.16,0.43,0.42,0.01,11,87
36,0.14,0.23,0.19,0.03,4,97
37,0.14,0.28,0.26,0.01,11,98
38,0.11,0.29,0.27,0.01,3,100
39,0.08,0.57,0.54,0.02,4,106
40,0.08,0.77,0.76,0.01,7,107
41,0.12,0.45,0.44,0.01,3,98
42,0.12,0.27,0.23,0.03,3,106
43,0.14,0.55,0.53,0.01,11,99
44,0.14,0.38,0.34,0.03,4,106
45,0.22,0.83,0.81,0.01,9,85
46,0.2,0.19,0.15,0.03,3,88
47,0.21,0.22,0.2,0.01,12,89
48,0.22,0.34,0.32,0.01,3,91
49,0.2,0.61,0.59,0.01,6,95
50,0.27,0.59,0.57,0.01,5,81
51,0.25,0.26,0.22,0.03,5,88
52,0.25,0.4,0.36,0.03,14,92
53,0.25,1.16,1.15,0.01,11,93
54,0.26,0.23,0.21,0.01,4,94
55,0.23,0.45,0.43,0.01,6,98
56,0.23,0.36,0.34,0.01,5,99
57,0.23,0.21,0.19,0.01,3,102
58,0.23,0.36,0.34,0.01,5,103
59,0.23,0.06,0.04,0.01,3,104
60,0.18,0.15,0.12,0.02,5,110
61,0.17,0.19,0.15,0.03,8,119
62,0.2,0.5,0.48,0.01,10,107
63,0.2,0.02,0.01,0.01,0,104
64,0.18,0.06,0.02,0.03,1,112
65,0.19,0.27,0.23,0.03,9,107
66,0.19,0.74,0.73,0.01,11,108
67,0.21,0.22,0.2,0.01,4,107
68,0.19,0.33,0.3,0.02,6,110
69,0.22,0.43,0.41,0.01,6,105
70,0.22,0.74,0.7,0.02,5,104
71,0.21,1.55,1.53,0.01,10,107
72,0.29,0.63,0.61,0.01,5,98
73,0.27,0.21,0.19,0.01,3,96
74,0.22,0.28,0.24,0.03,3,104
75,0.18,0.53,0.51,0.01,10,108
76,0.16,0.32,0.29,0.02,6,116
77,0.16,0.32,0.31,0.01,10,117
78,0.18,0.23,0.21,0.01,3,118
79,0.16,0.53,0.51,0.01,6,122
80,0.21,0.91,0.89,0.01,8,115
81,0.2,0.21,0.17,0.03,5,123
82,0.2,0.13,0.12,0.01,9,121
83,0.18,0.22,0.18,0.03,3,130
84,0.15,0.61,0.57,0.03,11,132
85,0.17,1.14,1.1,0.03,10,126
86,0.16,0.11,0.07,0.03,3,134
87,0.14,0.45,0.4,0.03,14,128
88,0.14,0.48,0.46,0.01,12,122
89,0.14,0.2,0.16,0.03,5,120
90,0.14,0.53,0.51,0.01,11,122
91,0.14,0.18,0.16,0.01,3,123
92,0.16,0.1,0.07,0.01,3,118
93,0.16,0.11,0.09,0.01,2,116
94,0.15,0.07,0.05,0.01,2,116
95,0.19,0.31,0.29,0.01,3,105
96,0.17,0.41,0.37,0.03,5,113
97,0.2,0.42,0.4,0.01,10,103
98,0.2,0.57,0.55,0.02,6,106
99,0.2,0.43,0.41,0.01,6,107
100,0.17,0.45,0.43,0.01,5,109
101,0.16,0.5,0.46,0.03,4,118
102,0.15,0.5,0.46,0.03,11,128
103,0.2,0.24,0.22,0.01,11,103
104,0.25,0.58,0.54,0.03,8,95
105,0.22,0.63,0.61,0.01,6,97
106,0.18,0.21,0.18,0.02,6,102
107,0.17,0.44,0.41,0.02,12,108
108,0.2,0.3,0.28,0.01,7,99
109,0.19,0.09,0.04,0.03,4,104
110,0.22,0.22,0.18,0.03,10,101
111,0.23,0.41,0.4,0.01,11,102
112,0.24,0.05,0.03,0.01,3,98
