,average_num_tabu_constraints,elapsed_time_in_seconds,elapsed_time_in_seconds_for_search_problem,elapsed_time_in_seconds_for_slice_problem,num_milp_solved,num_search_problems
0,0.0,0.19,0.11,0.08,2,16
1,0.0,1.47,1.39,0.08,17,30
2,0.0,1.47,1.39,0.07,16,45
3,0.04,2.37,2.29,0.08,17,45
4,0.04,1.55,1.46,0.08,16,45
5,0.05,1.57,1.48,0.08,17,59
6,0.04,2.05,1.96,0.08,16,73
7,0.03,1.18,1.08,0.08,16,88
8,0.07,1.16,1.08,0.07,17,58
9,0.04,1.18,1.09,0.07,16,57
10,0.0,2.14,2.05,0.08,16,72
11,0.0,2.06,2.02,0.03,17,78
12,0.01,1.27,1.19,0.07,8,87
13,0.02,2.03,1.77,0.08,16,101
14,0.02,1.68,1.59,0.07,16,116
15,0.03,3.28,3.21,0.05,17,119
16,0.05,1.94,1.85,0.07,11,110
17,0.05,1.98,1.88,0.08,16,110
18,0.06,3.1,3.01,0.07,17,110
19,0.06,1.93,1.85,0.07,16,110
20,0.06,1.24,1.15,0.08,16,124
21,0.07,1.18,1.14,0.02,16,114
22,0.07,0.89,0.83,0.05,6,123
23,0.04,1.53,1.5,0.02,11,127
24,0.06,0.96,0.86,0.08,6,113
25,0.04,1.65,1.55,0.08,17,128
26,0.02,1.47,1.37,0.08,17,142
27,0.03,1.36,1.27,0.07,16,147
28,0.03,1.93,1.84,0.07,16,119
29,0.02,1.95,1.86,0.07,16,132
30,0.03,2.05,1.96,0.07,15,127
31,0.07,2.3,2.25,0.03,16,114
32,0.07,1.75,1.7,0.04,8,113
33,0.06,1.24,1.15,0.07,9,113
34,0.06,1.7,1.61,0.07,16,113
35,0.05,2.28,2.24,0.03,16,119
36,0.05,1.3,1.21,0.07,8,119
37,0.05,2.11,2.01,0.08,16,133
38,0.04,2.27,2.18,0.07,16,147
39,0.02,2.84,2.75,0.07,16,161
40,0.02,2.31,2.21,0.08,16,176
41,0.02,1.96,1.86,0.07,17,190
42,0.03,2.1,2.04,0.04,16,149
43,0.04,1.08,0.98,0.07,9,142
44,0.04,2.07,2.0,0.05,16,152
45,0.01,1.82,1.78,0.02,12,156
